"Site","Collector","Date","FinalPlantSp","BloomStatus","FlowerNum"
"P33","CRP","7/29/13","Achillea millefolium","full bloom",2
"P33","AJR","6/12/14","Achillea millefolium","not blooming",0
"P33","LTC","6/22/14","Achillea millefolium","not blooming",0
"P33","LCP","7/2/14","Achillea millefolium","not blooming",0
"P33","LMH","7/13/14","Achillea millefolium","not blooming",0
"P37","CRP","6/28/13","Achillea millefolium","full bloom",2
"P37","LCP","7/13/13","Achillea millefolium","finishing bloom",2
"P37","GH","7/19/13","Achillea millefolium","finishing bloom",2
"P37","GH","7/30/13","Achillea millefolium","finishing bloom",2
"P37","LTC/JPS","6/13/14","Achillea millefolium","not blooming",0
"P37","KK","6/24/14","Achillea millefolium","full bloom",2
"P37","LCP","7/1/14","Achillea millefolium","full bloom",1
"P37","LKM","7/13/14","Achillea millefolium","",0
"W04","CRP","6/30/13","Achillea millefolium","not blooming",0
"W04","LCP","7/14/13","Achillea millefolium","full bloom",2
"W04","GH","7/20/13","Achillea millefolium","full bloom",2
"W04","GH","8/1/13","Achillea millefolium","full bloom",2
"W04","JPS/LTC","6/14/14","Achillea millefolium","not blooming",0
"W04","LCP","6/25/14","Achillea millefolium","not blooming",0
"W04","LCP","7/4/14","Achillea millefolium","not blooming",0
"W04","LTC","7/14/14","Achillea millefolium","not blooming",0
"N136","GH","7/9/13","Aconitum columbianum","full bloom",3
"N136","LCP","7/12/13","Aconitum columbianum","full bloom",3
"N136","CRP","7/24/13","Aconitum columbianum","finishing bloom",3
"N136","LCP","7/26/13","Aconitum columbianum","finishing bloom",3
"N136","LTC","6/17/14","Aconitum columbianum","beginning to bloom to bloom",2
"N136","LCP","7/7/14","Aconitum columbianum","full bloom",3
"N136","KK","7/10/14","Aconitum columbianum","full bloom",4
"N136","LTC","7/17/14","Aconitum columbianum","full bloom",3
"L21","LKM","6/12/14","Agoseris grandiflora","not blooming",0
"L21","LCP/EK","6/22/14","Agoseris grandiflora","not blooming",0
"L21","KD","7/3/14","Agoseris grandiflora","finishing bloom",1
"L21","KC","7/13/14","Agoseris grandiflora","not blooming",0
"L24","LKM","6/13/14","Agoseris retrorsa","full bloom",1
"L24","LCP/EK","6/23/14","Agoseris retrorsa","not blooming",0
"L24","MV/KD","7/2/14","Agoseris retrorsa","not blooming",0
"L24","LTC","7/13/14","Agoseris retrorsa","not blooming",0
"N132","AJR","6/14/14","Allium campanulatum","full bloom",1
"N132","LTC","6/25/14","Allium campanulatum","not blooming",0
"N132","KK","7/4/14","Allium campanulatum","not blooming",0
"N132","LCP","7/14/14","Allium campanulatum","not blooming",0
"P37","CRP","6/28/13","Antennaria&rosea&ssp.&confinis& ","not blooming",0
"P37","LCP","7/13/13","Antennaria&rosea&ssp.&confinis& ","not blooming",0
"P37","GH","7/19/13","Antennaria&rosea&ssp.&confinis& ","not blooming",0
"P37","GH","7/30/13","Antennaria&rosea&ssp.&confinis& ","not blooming",0
"P37","JPS/LTC","6/13/14","Antennaria&rosea&ssp.&confinis& ","not blooming",0
"P37","KK","6/24/14","Antennaria&rosea&ssp.&confinis& ","not blooming",0
"P37","LCP","7/1/14","Antennaria&rosea&ssp.&confinis& ","not blooming",0
"P37","LKM","7/13/14","Antennaria&rosea&ssp.&confinis& ","not blooming",0
"N131","CK","6/30/13","Apocynum androsaemifolium","full bloom",2
"N131","CRP","7/14/13","Apocynum androsaemifolium","full bloom",3
"N131","LCP","7/20/13","Apocynum androsaemifolium","full bloom",3
"N131","CRP","8/1/13","Apocynum androsaemifolium","finishing bloom",3
"N131","LCP","6/14/14","Apocynum androsaemifolium","not blooming",0
"N131","KK","6/25/14","Apocynum androsaemifolium","beginning to bloom to bloom",2
"N131","MV/KD","7/4/14","Apocynum androsaemifolium","full bloom",3
"N131","KK","7/14/14","Apocynum androsaemifolium","full bloom",4
"N133","CRP","7/8/13","Apocynum androsaemifolium","full bloom",5
"N133","GH","7/11/13","Apocynum androsaemifolium","full bloom",5
"N133","LCP","7/23/13","Apocynum androsaemifolium","finishing bloom",4
"N133","GH","7/25/13","Apocynum androsaemifolium","finishing bloom",4
"N133","LCP/KAK","6/18/14","Apocynum androsaemifolium","beginning to bloom to bloom",2
"N133","KK","7/7/14","Apocynum androsaemifolium","full bloom",4
"N133","LCP","7/10/14","Apocynum androsaemifolium","full bloom",3
"N133","LTC","7/18/14","Apocynum androsaemifolium","full bloom",2
"N135","GH","7/8/13","Apocynum androsaemifolium","beginning to bloom",2
"N135","LCP","7/11/13","Apocynum androsaemifolium","beginning to bloom",2
"N135","CRP","7/22/13","Apocynum androsaemifolium","finishing bloom",1
"N135","LCP","7/25/13","Apocynum androsaemifolium","finishing bloom",1
"N135","LTC","6/18/14","Apocynum androsaemifolium","not blooming",0
"N135","KK","7/6/14","Apocynum androsaemifolium","full bloom",5
"N135","LCP","7/9/14","Apocynum androsaemifolium","finishing bloom",3
"N135","LCP","7/19/14","Apocynum androsaemifolium","finishing bloom",2
"N137","CRP","7/9/13","Apocynum androsaemifolium","full bloom",3
"N137","GH","7/12/13","Apocynum androsaemifolium","full bloom",3
"N137","LCP","7/24/13","Apocynum androsaemifolium","finishing bloom",3
"N137","CRP","7/26/13","Apocynum androsaemifolium","finishing bloom",2
"N137","LCP/KAK","6/19/14","Apocynum androsaemifolium","not blooming",0
"N137","LTC","7/7/14","Apocynum androsaemifolium","full bloom",2
"N137","LTC","7/10/14","Apocynum androsaemifolium","full bloom",2
"N137","LTC","7/19/14","Apocynum androsaemifolium","full bloom",3
"N139","LCP","7/9/13","Apocynum androsaemifolium","beginning to bloom",1
"N139","CRP","7/12/13","Apocynum androsaemifolium","full bloom",3
"N139","GH","7/24/13","Apocynum androsaemifolium","finishing bloom",2
"N139","GH","7/26/13","Apocynum androsaemifolium","finishing bloom",2
"N139","JPS","6/18/14","Apocynum androsaemifolium","full bloom",1
"N139","LTC","7/6/14","Apocynum androsaemifolium","full bloom",2
"N139","LTC","7/9/14","Apocynum androsaemifolium","full bloom",2
"N139","LCP","7/18/14","Apocynum androsaemifolium","full bloom",2
"P24","CC","6/27/13","Apocynum androsaemifolium","not blooming",0
"P24","CRP","7/13/13","Apocynum androsaemifolium","not blooming",0
"P24","CRP","7/19/13","Apocynum androsaemifolium","not blooming",0
"P24","GH","7/29/13","Apocynum androsaemifolium","not blooming",0
"P24","JPS","6/12/14","Apocynum androsaemifolium","not blooming",0
"P24","KK","6/23/14","Apocynum androsaemifolium","not blooming",0
"P24","KK","7/2/14","Apocynum androsaemifolium","not blooming",0
"P24","MRM","7/13/14","Apocynum androsaemifolium","not blooming",0
"P310","LCP","6/29/13","Apocynum androsaemifolium","not blooming",0
"P310","BES","7/13/13","Apocynum androsaemifolium","finishing bloom",3
"P310","CRP","7/17/13","Apocynum androsaemifolium","finishing bloom",3
"P310","GH","7/31/13","Apocynum androsaemifolium","finishing bloom",2
"P310","LCP","6/12/14","Apocynum androsaemifolium","not blooming",0
"P310","LCP","6/24/14","Apocynum androsaemifolium","beginning to bloom to bloom",1
"P310","KK","7/1/14","Apocynum androsaemifolium","beginning to bloom to bloom",3
"P310","CV","7/13/14","Apocynum androsaemifolium","beginning to bloom to bloom",2
"P33","AJR","6/12/14","Apocynum androsaemifolium","full bloom",0
"P33","LTC","6/22/14","Apocynum androsaemifolium","finishing bloom",0
"P33","LCP","7/2/14","Apocynum androsaemifolium","finishing bloom",0
"P33","LMH","7/13/14","Apocynum androsaemifolium","full bloom",2
"P43","JPS","6/12/14","Apocynum androsaemifolium","not blooming",0
"P43","KK","6/23/14","Apocynum androsaemifolium","not blooming",0
"P43","KK","7/2/14","Apocynum androsaemifolium","not blooming",0
"P43","PG","7/13/14","Apocynum androsaemifolium","full bloom",2
"W04","CRP","6/30/13","Apocynum androsaemifolium","not blooming",0
"W04","LCP","7/14/13","Apocynum androsaemifolium","full bloom",2
"W04","GH","7/20/13","Apocynum androsaemifolium","finishing bloom",2
"W04","GH","8/1/13","Apocynum androsaemifolium","finishing bloom",2
"W04","JPS/LTC","6/14/14","Apocynum androsaemifolium","not blooming",0
"W04","LCP","6/25/14","Apocynum androsaemifolium","full bloom",2
"W04","LCP","7/4/14","Apocynum androsaemifolium","full bloom",2
"W04","LTC","7/14/14","Apocynum androsaemifolium","full bloom",4
"N134","LCP","7/8/13","Aquilegia formosa","full bloom",1
"N134","CRP","7/11/13","Aquilegia formosa","full bloom",1
"N134","GH","7/22/13","Aquilegia formosa","not blooming",0
"N134","CRP","7/25/13","Aquilegia formosa","not blooming",0
"N134","JPS","6/17/14","Aquilegia formosa","beginning to bloom to bloom",3
"N134","LCP","7/6/14","Aquilegia formosa","full bloom",2
"N134","KK","7/9/14","Aquilegia formosa","not blooming",0
"N134","LCP","7/17/14","Aquilegia formosa","not blooming",0
"N136","GH","7/9/13","Aquilegia formosa","full bloom",1
"N136","LCP","7/12/13","Aquilegia formosa","full bloom",1
"N136","CRP","7/24/13","Aquilegia formosa","not blooming",0
"N136","LCP","7/26/13","Aquilegia formosa","not blooming",0
"N136","LTC","6/17/14","Aquilegia formosa","not blooming",0
"N136","LCP","7/7/14","Aquilegia formosa","not blooming",0
"N136","KK","7/10/14","Aquilegia formosa","full bloom",1
"N136","LTC","7/17/14","Aquilegia formosa","finishing bloom",1
"L21","LCP","6/26/13","Arabis lyallii var.lyallii ","not blooming",0
"L21","LKM","7/13/13","Arabis lyallii var.lyallii ","not blooming",0
"L21","LCP","7/17/13","Arabis lyallii var.lyallii ","not blooming",0
"L21","LCP","7/30/13","Arabis lyallii var.lyallii ","not blooming",0
"L21","LKM","6/12/14","Arabis lyallii var.lyallii ","not blooming",0
"L21","LCP/EK","6/22/14","Arabis lyallii var.lyallii ","not blooming",0
"L21","KD","7/3/14","Arabis lyallii var.lyallii ","not blooming",0
"L21","KC","7/13/14","Arabis lyallii var.lyallii ","not blooming",0
"P310","LCP","6/29/13","Arabis lyallii var.lyallii ","not blooming",0
"P310","BES","7/13/13","Arabis lyallii var.lyallii ","not blooming",0
"P310","CRP","7/17/13","Arabis lyallii var.lyallii ","not blooming",0
"P310","GH","7/31/13","Arabis lyallii var.lyallii ","not blooming",0
"P310","LCP","6/12/14","Arabis lyallii var.lyallii ","not blooming",0
"P310","LCP","6/24/14","Arabis lyallii var.lyallii ","not blooming",0
"P310","KK","7/1/14","Arabis lyallii var.lyallii ","not blooming",0
"P310","CV","7/13/14","Arabis lyallii var.lyallii ","not blooming",0
"N131","CK","6/30/13","Arabis rectissima var. rectissima","finishing bloom",1
"N131","CRP","7/14/13","Arabis rectissima var. rectissima","not blooming",0
"N131","LCP","7/20/13","Arabis rectissima var. rectissima","not blooming",0
"N131","CRP","8/1/13","Arabis rectissima var. rectissima","not blooming",0
"N131","LCP","6/14/14","Arabis rectissima var. rectissima","not blooming",0
"N131","KK","6/25/14","Arabis rectissima var. rectissima","beginning to bloom to bloom",2
"N131","MV/KD","7/4/14","Arabis rectissima var. rectissima","not blooming",0
"N131","KK","7/14/14","Arabis rectissima var. rectissima","not blooming",0
"N133","CRP","7/8/13","Arabis rectissima var. rectissima","finishing bloom",3
"N133","GH","7/11/13","Arabis rectissima var. rectissima","not blooming",0
"N133","LCP","7/23/13","Arabis rectissima var. rectissima","not blooming",0
"N133","GH","7/25/13","Arabis rectissima var. rectissima","not blooming",0
"N133","LCP/KAK","6/18/14","Arabis rectissima var. rectissima","not blooming",0
"N133","KK","7/7/14","Arabis rectissima var. rectissima","not blooming",0
"N133","LCP","7/10/14","Arabis rectissima var. rectissima","not blooming",0
"N133","LTC","7/18/14","Arabis rectissima var. rectissima","not blooming",0
"P24","CC","6/27/13","Arabis rectissima var. rectissima","not blooming",0
"P24","CRP","7/13/13","Arabis rectissima var. rectissima","not blooming",0
"P24","CRP","7/19/13","Arabis rectissima var. rectissima","not blooming",0
"P24","GH","7/29/13","Arabis rectissima var. rectissima","not blooming",0
"P24","JPS","6/12/14","Arabis rectissima var. rectissima","not blooming",0
"P24","KK","6/23/14","Arabis rectissima var. rectissima","not blooming",0
"P24","KK","7/2/14","Arabis rectissima var. rectissima","not blooming",0
"P24","MRM","7/13/14","Arabis rectissima var. rectissima","not blooming",0
"P37","CRP","6/28/13","Arabis rectissima var. rectissima","not blooming",0
"P37","LCP","7/13/13","Arabis rectissima var. rectissima","not blooming",0
"P37","GH","7/19/13","Arabis rectissima var. rectissima","not blooming",0
"P37","GH","7/30/13","Arabis rectissima var. rectissima","not blooming",0
"P37","JPS/LTC","6/13/14","Arabis rectissima var. rectissima","not blooming",0
"P37","KK","6/24/14","Arabis rectissima var. rectissima","not blooming",0
"P37","LCP","7/1/14","Arabis rectissima var. rectissima","not blooming",0
"P37","LKM","7/13/14","Arabis rectissima var. rectissima","not blooming",0
"P43","LCP","6/28/13","Arabis rectissima var. rectissima","not blooming",0
"P43","TS","7/13/13","Arabis rectissima var. rectissima","not blooming",0
"P43","GH","7/17/13","Arabis rectissima var. rectissima","not blooming",0
"P43","CRP","7/30/13","Arabis rectissima var. rectissima","not blooming",0
"P43","LCP","6/13/14","Arabis rectissima var. rectissima","not blooming",0
"P43","LTC","6/24/14","Arabis rectissima var. rectissima","not blooming",0
"P43","LCP","7/3/14","Arabis rectissima var. rectissima","not blooming",0
"P43","PG","7/13/14","Arabis rectissima var. rectissima","not blooming",0
"W04","CRP","6/30/13","Arabis rectissima var. rectissima","not blooming",0
"W04","LCP","7/14/13","Arabis rectissima var. rectissima","not blooming",0
"W04","GH","7/20/13","Arabis rectissima var. rectissima","not blooming",0
"W04","GH","8/1/13","Arabis rectissima var. rectissima","not blooming",0
"W04","JPS/LTC","6/14/14","Arabis rectissima var. rectissima","not blooming",0
"W04","LCP","6/25/14","Arabis rectissima var. rectissima","not blooming",0
"W04","LCP","7/4/14","Arabis rectissima var. rectissima","not blooming",0
"W04","LTC","7/14/14","Arabis rectissima var. rectissima","not blooming",0
"L21","LCP","6/26/13","Arnica nevadensis","full bloom",1
"L21","LCP","7/13/13","Arnica nevadensis","finishing bloom",1
"L21","LKM","7/17/13","Arnica nevadensis","finishing bloom",1
"L21","LCP","7/30/13","Arnica nevadensis","finishing bloom",1
"L21","LKM","6/12/14","Arnica nevadensis","full bloom",1
"L21","LCP/EK","6/22/14","Arnica nevadensis","not blooming",0
"L21","KD","7/3/14","Arnica nevadensis","not blooming",0
"L21","KC","7/13/14","Arnica nevadensis","not blooming",0
"L24","LKM","6/27/13","Arnica nevadensis","full bloom",1
"L24","SB","7/13/13","Arnica nevadensis","finishing bloom",1
"L24","LCP","7/18/13","Arnica nevadensis","finishing bloom",1
"L24","LCP","7/31/13","Arnica nevadensis","finishing bloom",1
"L24","LKM","6/13/14","Arnica nevadensis","not blooming",0
"L24","LCP/EK","6/23/14","Arnica nevadensis","full bloom",1
"L24","MV/KD","7/2/14","Arnica nevadensis","finishing bloom",2
"L24","LTC","7/13/14","Arnica nevadensis","full bloom",2
"N131","CK","6/30/13","Aster breweri","not blooming",0
"N131","CRP","7/14/13","Aster breweri","full bloom",2
"N131","LCP","7/20/13","Aster breweri","full bloom",2
"N131","CRP","8/1/13","Aster breweri","finishing bloom",2
"N131","LCP","6/14/14","Aster breweri","not blooming",0
"N131","KK","6/25/14","Aster breweri","beginning to bloom to bloom",2
"N131","MV/KD","7/4/14","Aster breweri","full bloom",2
"N131","KK","7/14/14","Aster breweri","finishing bloom",2
"L21","LCP","6/26/13","Aster integrifolius","beginning to bloom",1
"L21","LKM","7/13/13","Aster integrifolius","full bloom",3
"L21","LCP","7/17/13","Aster integrifolius","full bloom",3
"L21","LCP","7/30/13","Aster integrifolius","finishing bloom",3
"L21","LKM","6/12/14","Aster integrifolius","not blooming",0
"L21","LCP/EK","6/22/14","Aster integrifolius","not blooming",0
"L21","KD","7/3/14","Aster integrifolius","not blooming",0
"L21","KC","7/13/14","Aster integrifolius","full bloom",2
"N131","CK","6/30/13","Aster integrifolius","not blooming",0
"N131","CRP","7/14/13","Aster integrifolius","not blooming",0
"N131","LCP","7/20/13","Aster integrifolius","not blooming",0
"N131","CRP","8/1/13","Aster integrifolius","full bloom",2
"N131","LCP","6/14/14","Aster integrifolius","not blooming",0
"N131","KK","6/25/14","Aster integrifolius","not blooming",0
"N131","MV/KD","7/4/14","Aster integrifolius","not blooming",0
"N131","KK","7/14/14","Aster integrifolius","finishing bloom",1
"P37","CRP","6/28/13","Aster integrifolius","full bloom",1
"P37","LCP","7/13/13","Aster integrifolius","full bloom",1
"P37","GH","7/19/13","Aster integrifolius","full bloom",1
"P37","GH","7/30/13","Aster integrifolius","full bloom",1
"P37","JPS/LTC","6/13/14","Aster integrifolius","not blooming",0
"P37","KK","6/24/14","Aster integrifolius","full bloom",1
"P37","LCP","7/1/14","Aster integrifolius","full bloom",1
"P37","LKM","7/13/14","Aster integrifolius","not blooming",0
"L21","LKM","6/12/14","Aster occidentalis","full bloom",1
"L21","LCP/EK","6/22/14","Aster occidentalis","full bloom",1
"L21","KD","7/3/14","Aster occidentalis","finishing bloom",1
"L21","KC","7/13/14","Aster occidentalis","not blooming",0
"N139","JPS","6/18/14","Aster sp.","not blooming",0
"N139","LTC","7/6/14","Aster sp.","not blooming",0
"N139","LTC","7/9/14","Aster sp.","not blooming",0
"N139","LCP","7/18/14","Aster sp.","full bloom",1
"L35","LTC","6/12/14","Brassica sp.","full bloom",2
"L35","KK","6/22/14","Brassica sp.","finishing bloom",1
"L35","MV","7/3/14","Brassica sp.","finishing bloom",1
"L35","LCP","7/13/14","Brassica sp.","not blooming",0
"L21","LCP","6/26/13","Calochortus spp.","finishing bloom",3
"L21","LKM","7/13/13","Calochortus spp.","not blooming",0
"L21","LCP","7/17/13","Calochortus spp.","not blooming",0
"L21","LCP","7/30/13","Calochortus spp.","not blooming",0
"L21","LKM","6/12/14","Calochortus spp.","not blooming",0
"L21","LCP/EK","6/22/14","Calochortus spp.","full bloom",2
"L21","KD","7/3/14","Calochortus spp.","finishing bloom",1
"L21","KC","7/13/14","Calochortus spp.","not blooming",0
"L24","LKM","6/27/13","Calochortus spp.","full bloom",1
"L24","SB","7/13/13","Calochortus spp.","not blooming",0
"L24","LCP","7/18/13","Calochortus spp.","not blooming",0
"L24","LCP","7/31/13","Calochortus spp.","not blooming",0
"L24","LKM","6/13/14","Calochortus spp.","not blooming",0
"L24","LCP/EK","6/23/14","Calochortus spp.","not blooming",0
"L24","MV/KD","7/2/14","Calochortus spp.","not blooming",0
"L24","LTC","7/13/14","Calochortus spp.","not blooming",0
"L33","CRP","6/29/13","Calochortus spp.","full bloom",1
"L33","GH","7/13/13","Calochortus spp.","not blooming",0
"L33","LCP","7/19/13","Calochortus spp.","not blooming",0
"L33","CRP","7/31/13","Calochortus spp.","not blooming",0
"L33","AJR","6/13/14","Calochortus spp.","not blooming",0
"L33","LTC","6/23/14","Calochortus spp.","full bloom",1
"L33","KK","7/3/14","Calochortus spp.","full bloom",1
"L33","KK","7/13/14","Calochortus spp.","not blooming",0
"L35","LTC","6/12/14","Calochortus spp.","not blooming",0
"L35","KK","6/22/14","Calochortus spp.","not blooming",0
"L35","MV","7/3/14","Calochortus spp.","finishing bloom",1
"L35","LCP","7/13/14","Calochortus spp.","not blooming",0
"N131","CK","6/30/13","Calochortus spp.","finishing bloom",1
"N131","CRP","7/14/13","Calochortus spp.","not blooming",0
"N131","LCP","7/20/13","Calochortus spp.","not blooming",0
"N131","CRP","8/1/13","Calochortus spp.","not blooming",0
"N131","LCP","6/14/14","Calochortus spp.","not blooming",0
"N131","KK","6/25/14","Calochortus spp.","full bloom",1
"N131","MV/KD","7/4/14","Calochortus spp.","beginning to bloom to bloom",1
"N131","KK","7/14/14","Calochortus spp.","not blooming",0
"N132","AJR","6/14/14","Calochortus spp.","full bloom",1
"N132","LTC","6/25/14","Calochortus spp.","full bloom",1
"N132","KK","7/4/14","Calochortus spp.","not blooming",0
"N132","LCP","7/14/14","Calochortus spp.","not blooming",0
"N135","LTC","6/18/14","Calochortus spp.","full bloom",1
"N135","KK","7/6/14","Calochortus spp.","full bloom",1
"N135","LCP","7/9/14","Calochortus spp.","not blooming",0
"N135","LCP","7/19/14","Calochortus spp.","not blooming",0
"N137","LCP/KAK","6/19/14","Calochortus spp.","not blooming",0
"N137","LTC","7/7/14","Calochortus spp.","full bloom",1
"N137","LTC","7/10/14","Calochortus spp.","full bloom",1
"N137","LTC","7/19/14","Calochortus spp.","not blooming",0
"P24","CC","6/27/13","Calochortus spp.","full bloom",1
"P24","CRP","7/13/13","Calochortus spp.","not blooming",0
"P24","CRP","7/19/13","Calochortus spp.","not blooming",0
"P24","GH","7/29/13","Calochortus spp.","not blooming",0
"P24","JPS","6/12/14","Calochortus spp.","not blooming",0
"P24","KK","6/23/14","Calochortus spp.","not blooming",0
"P24","KK","7/2/14","Calochortus spp.","finishing bloom",1
"P24","MRM","7/13/14","Calochortus spp.","not blooming",0
"P310","LCP","6/29/13","Calochortus spp.","finishing bloom",1
"P310","BES","7/13/13","Calochortus spp.","not blooming",0
"P310","CRP","7/17/13","Calochortus spp.","not blooming",0
"P310","GH","7/31/13","Calochortus spp.","not blooming",0
"P310","LCP","6/12/14","Calochortus spp.","not blooming",0
"P310","LCP","6/24/14","Calochortus spp.","full bloom",1
"P310","KK","7/1/14","Calochortus spp.","full bloom",1
"P310","CV","7/13/14","Calochortus spp.","finishing bloom",1
"P37","CRP","6/28/13","Calochortus spp.","full bloom",1
"P37","LCP","7/13/13","Calochortus spp.","not blooming",0
"P37","GH","7/19/13","Calochortus spp.","not blooming",0
"P37","GH","7/30/13","Calochortus spp.","not blooming",0
"P37","JPS/LTC","6/13/14","Calochortus spp.","not blooming",0
"P37","KK","6/24/14","Calochortus spp.","not blooming",0
"P37","LCP","7/1/14","Calochortus spp.","not blooming",0
"P37","LKM","7/13/14","Calochortus spp.","not blooming",0
"N132","LCP","6/30/13","Calyptridium umbellatum","full bloom",1
"N132","GH","7/14/13","Calyptridium umbellatum","finishing bloom",1
"N132","CRP","7/20/13","Calyptridium umbellatum","finishing bloom",1
"N132","LCP","8/1/13","Calyptridium umbellatum","not blooming",0
"N132","AJR","6/14/14","Calyptridium umbellatum","full bloom",2
"N132","LTC","6/25/14","Calyptridium umbellatum","full bloom",1
"N132","KK","7/4/14","Calyptridium umbellatum","finishing bloom",1
"N132","LCP","7/14/14","Calyptridium umbellatum","finishing bloom",1
"N133","CRP","7/8/13","Calyptridium umbellatum","full bloom",2
"N133","GH","7/11/13","Calyptridium umbellatum","full bloom",2
"N133","LCP","7/23/13","Calyptridium umbellatum","finishing bloom",1
"N133","GH","7/25/13","Calyptridium umbellatum","not blooming",0
"N133","LCP/KAK","6/18/14","Calyptridium umbellatum","full bloom",1
"N133","KK","7/7/14","Calyptridium umbellatum","not blooming",0
"N133","LCP","7/10/14","Calyptridium umbellatum","finishing bloom",1
"N133","LTC","7/18/14","Calyptridium umbellatum","not blooming",0
"N137","CRP","7/9/13","Calyptridium umbellatum","finishing bloom",1
"N137","GH","7/12/13","Calyptridium umbellatum","finishing bloom",1
"N137","LCP","7/24/13","Calyptridium umbellatum","finishing bloom",1
"N137","CRP","7/26/13","Calyptridium umbellatum","finishing bloom",1
"N137","LCP/KAK","6/19/14","Calyptridium umbellatum","not blooming",0
"N137","LTC","7/7/14","Calyptridium umbellatum","full bloom",1
"N137","LTC","7/10/14","Calyptridium umbellatum","full bloom",1
"N137","LTC","7/19/14","Calyptridium umbellatum","full bloom",1
"P37","CRP","6/28/13","Calyptridium umbellatum","full bloom",1
"P37","LCP","7/13/13","Calyptridium umbellatum","not blooming",0
"P37","GH","7/19/13","Calyptridium umbellatum","not blooming",0
"P37","GH","7/30/13","Calyptridium umbellatum","not blooming",0
"P37","JPS/LTC","6/13/14","Calyptridium umbellatum","not blooming",0
"P37","KK","6/24/14","Calyptridium umbellatum","not blooming",0
"P37","LCP","7/1/14","Calyptridium umbellatum","not blooming",0
"P37","LKM","7/13/14","Calyptridium umbellatum","not blooming",0
"L21","LCP","6/26/13","Castilleja applegatei ssp. disticha","full bloom",2
"L21","LKM","7/13/13","Castilleja applegatei ssp. disticha","full bloom",2
"L21","LCP","7/17/13","Castilleja applegatei ssp. disticha","full bloom",2
"L21","LCP","7/30/13","Castilleja applegatei ssp. disticha","finishing bloom",1
"L21","LKM","6/12/14","Castilleja applegatei ssp. disticha","full bloom",1
