"NetPan","Site","SampleRound","Date","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd","Collector","NetNumber","Year"
"net","L24",1,"6/27/13","11:21:00","12:48:00",26.1,28.1,2.2,3.2,"clear","clear","LKM",3,2013
"pan","L24",1,"6/27/13","8:00:00","12:30:00",14.8,28.1,0,3.2,"clear","clear","LKM",NA,2013
"net","L24",2,"7/13/13","9:12:00","10:25:00",20.8,21.7,0.3,1.1,"clear","clear","SB",1,2013
"net","L24",2,"7/13/13","10:35:00","11:45:00",21.9,22,0.6,1.3,"clear","clear","SB",2,2013
"net","L24",2,"7/13/13","12:15:00","1:14:00",22.7,26.4,0.8,1.2,"clear","partly cloudy","SB",3,2013
"pan","L24",2,"7/13/13","9:00:00","1:43:00",18.2,27.3,0,0.8,"clear","clear","SB",NA,2013
"net","L24",3,"7/18/13","8:53:00","10:25:00",17.1,22.4,0.3,0.7,"clear","clear","LCP",1,2013
"net","L24",3,"7/18/13","8:55:00","10:35:00",17.1,22.8,0.3,0.9,"clear","clear","HS",2,2013
"net","L24",3,"7/18/13","10:40:00","11:45:00",22.8,26.1,0.9,0.8,"clear","clear","LCP",3,2013
"pan","L24",3,"7/18/13","8:50:00","1:20:00",17.1,25.5,0.3,1,"clear","clear","LCP",NA,2013
"net","L24",4,"7/31/13","8:50:00","10:15:00",16.4,22.2,0,0.8,"clear","clear","LCP",1,2013
"net","L24",4,"7/31/13","8:50:00","10:20:00",16.4,22.2,0,0.8,"clear","clear","AJR",2,2013
"net","L24",4,"7/31/13","10:50:00","11:50:00",23.3,24.4,1.4,1.4,"clear","clear","LCP",3,2013
"pan","L24",4,"7/31/13","8:30:00","1:00:00",16.2,25.6,0.6,0.7,"clear","clear","LCP",NA,2013
"net","L33",1,"6/29/13","8:10:00","8:56:00",18.9,23.4,0.3,0.4,"clear","clear","CRP",1,2013
"net","L33",1,"6/29/13","9:00:00","9:40:00",23.5,24.2,0.6,0.6,"clear","clear","CRP",2,2013
"net","L33",1,"6/29/13","9:45:00","10:30:00",24.6,25.8,0.4,0.9,"clear","clear","CRP",3,2013
"pan","L33",1,"6/29/13","9:45:00","2:15:00",24.6,25.8,0.4,0.9,"clear","clear","CRP",NA,2013
"net","L33",2,"7/13/13","9:09:00","9:48:00",20.7,20.9,0.4,0.4,"clear","clear","GH",1,2013
"net","L33",2,"7/13/13","10:07:00","10:43:00",23.2,27.4,0.3,0.5,"clear","clear","GH",2,2013
"net","L33",2,"7/13/13","11:10:00","11:45:00",26.3,30.6,0.3,0.3,"clear","clear","GH",3,2013
"pan","L33",2,"7/13/13","8:56:00","1:30:00",18.8,26.9,0.6,0.6,"clear","clear","GH",NA,2013
"net","L33",3,"7/19/13","8:50:00","9:45:00",23.3,26.3,0,0.6,"clear","clear","LCP",1,2013
"net","L33",3,"7/19/13","9:45:00","10:45:00",26.6,30,0.6,0.9,"clear","clear","LCP",2,2013
"net","L33",3,"7/19/13","11:05:00","12:10:00",30,30.5,0.9,1.1,"clear","clear","LCP",3,2013
"pan","L33",3,"7/19/13","8:30:00","1:00:00",20.5,30,0.3,1.5,"clear","clear","LCP",NA,2013
"net","L33",4,"7/31/13","8:15:00","8:55:00",15,21.3,0,0.8,"clear","clear","CRP",1,2013
"net","L33",4,"7/31/13","9:00:00","9:40:00",21.3,22.5,0.7,0.5,"clear","clear","CRP",2,2013
"net","L33",4,"7/31/13","9:50:00","10:30:00",22.7,23,0.8,1,"clear","clear","CRP",3,2013
"pan","L33",4,"7/31/13","8:00:00","12:30:00",15,28.2,0,1,"clear","clear","CRP",NA,2013
"net","L35",1,"6/27/13","8:00:00","9:45:00",17.5,28.5,0.5,0.4,"clear","clear","LCP",1,2013
"net","L35",1,"6/27/13","9:50:00","10:30:00",28.5,28.5,0.4,0.5,"clear","clear","LCP",2,2013
"net","L35",1,"6/27/13","10:30:00","11:30:00",27.4,28.5,0.5,0.6,"clear","clear","LCP",3,2013
"pan","L35",1,"6/27/13","9:00:00","1:30:00",17.5,28.4,0.5,0.7,"clear","clear","LCP",NA,2013
"net","L35",2,"7/13/13","9:45:00","10:30:00",20.5,23.4,0.7,1.2,"clear","clear","SH",1,2013
"net","L35",2,"7/13/13","10:45:00","12:00:00",23.4,25.5,1.2,1.5,"clear","clear","SH",2,2013
"net","L35",2,"7/13/13","12:30:00","1:35:00",23.9,32.6,1.5,0.8,"clear","clear","SH",3,2013
"pan","L35",2,"7/13/13","9:05:00","1:40:00",20.5,32.6,0.7,0.9,"clear","clear","SH",NA,2013
"net","L35",3,"7/18/13","8:45:00","9:45:00",22.3,22.8,0,0.6,"clear","clear","CRP",1,2013
"net","L35",3,"7/18/13","9:45:00","10:30:00",22.8,23.3,0.6,1.2,"clear","clear","CRP",2,2013
"net","L35",3,"7/18/13","10:40:00","11:25:00",23.5,24,1.5,2,"clear","clear","CRP",3,2013
"pan","L35",3,"7/18/13","8:30:00","1:00:00",22.3,24.5,0.3,1.8,"clear","clear","CRP",NA,2013
"net","L35",4,"7/29/13","8:40:00","10:00:00",20.1,23.5,0.3,0.6,"clear","clear","LCP",1,2013
"net","L35",4,"7/29/13","8:40:00","10:30:00",20.1,23.3,0.3,0.9,"clear","partly cloudy","AJR",2,2013
"net","L35",4,"7/29/13","10:30:00","11:15:00",23.3,22.4,0.9,1.1,"partly cloudy","partly cloudy","LCP",3,2013
"pan","L35",4,"7/29/13","8:15:00","12:45:00",15.8,25.9,0.6,1.2,"clear","partly cloudy","LCP",NA,2013
"net","N131",1,"6/30/13","10:42:00","12:06:00",26,27.6,1.1,0.5,"clear","clear","CK",1,2013
"net","N131",1,"6/30/13","12:36:00","1:24:00",27.6,29.8,1.3,1.4,"clear","clear","CK",2,2013
"net","N131",1,"6/30/13","1:36:00","2:40:00",30.8,30.5,1.1,0.5,"clear","clear","CK",3,2013
"pan","N131",1,"6/30/13","10:25:00","3:15:00",26.6,31.5,0.6,0.6,"clear","clear","CK",NA,2013
"net","N131",2,"7/14/13","8:45:00","1:15:00",20,27.2,0.4,1,"clear","clear","CRP",1,2013
"net","N131",2,"7/14/13","9:55:00","10:45:00",22.8,23,0.9,0.8,"clear","clear","CRP",2,2013
"net","N131",2,"7/14/13","11:10:00","12:10:00",24,27,0.8,2,"clear","clear","CRP",3,2013
"pan","N131",2,"7/14/13","8:55:00","9:45:00",20,22.6,0.4,0.8,"clear","clear","CRP",NA,2013
"net","N131",3,"7/20/13","9:05:00","10:15:00",22.6,27.7,0.5,0.7,"clear","clear","LCP",1,2013
"net","N131",3,"7/20/13","10:15:00","11:30:00",27.7,27.2,0.7,1.3,"clear","clear","LCP",2,2013
"net","N131",3,"7/20/13","11:30:00","12:30:00",27.2,27.8,1.3,0.6,"clear","partly cloudy","LCP",3,2013
"pan","N131",3,"7/20/13","8:50:00","1:20:00",22.6,29.4,0.5,0.7,"clear","partly cloudy","LCP",NA,2013
"net","N131",4,"8/1/13","9:05:00","9:50:00",16.5,20.8,1.5,1.6,"clear","clear","CRP",1,2013
"net","N131",4,"8/1/13","10:00:00","10:55:00",21,24.5,1.1,2,"clear","clear","CRP",2,2013
"net","N131",4,"8/1/13","11:00:00","11:45:00",24.5,24.1,1.8,1.5,"clear","clear","CRP",3,2013
"pan","N131",4,"8/1/13","8:45:00","1:15:00",16.3,22.1,1.5,1.5,"clear","clear","CRP",NA,2013
"net","N132",1,"6/30/13","9:30:00","10:30:00",25.9,27.7,0.8,0.7,"clear","clear","LCP",1,2013
"net","N132",1,"6/30/13","10:30:00","11:15:00",28,30,0.8,1.4,"clear","clear","LCP",2,2013
"net","N132",1,"6/30/13","11:30:00","12:15:00",30.3,29.4,1.3,0.9,"clear","clear","LCP",3,2013
"pan","N132",1,"6/30/13","9:30:00","2:30:00",25.9,31.4,0.8,1,"clear","clear","LCP",NA,2013
"net","N132",2,"7/14/13","10:00:00","10:37:00",24.1,26.3,0.4,0.6,"clear","clear","GH",1,2013
"net","N132",2,"7/14/13","10:50:00","11:26:00",25.8,27.2,0.7,1.4,"clear","clear","GH",2,2013
"net","N132",2,"7/14/13","12:45:00","1:28:00",26.3,29.2,1.5,0.8,"clear","clear","GH",3,2013
"pan","N132",2,"7/14/13","9:50:00","2:20:00",23.5,29.7,0.4,0.9,"clear","clear","GH",NA,2013
"net","N132",3,"7/20/13","8:30:00","9:10:00",20.7,23.3,0,0.7,"clear","clear","CRP",1,2013
"net","N132",3,"7/20/13","9:15:00","9:55:00",23.3,27,0.8,1,"clear","clear","CRP",2,2013
"net","N132",3,"7/20/13","10:00:00","10:35:00",27,25.7,1,1.8,"clear","clear","CRP",3,2013
"pan","N132",3,"7/20/13","8:15:00","12:45:00",20.7,29,0,0.7,"clear","partly cloudy","CRP",NA,2013
"net","N132",4,"8/1/13","8:35:00","9:10:00",15.8,17.1,0.9,2.2,"clear","clear","LCP",1,2013
"net","N132",4,"8/1/13","9:10:00","9:50:00",15.8,19,0.9,2.1,"clear","clear","LCP",2,2013
"net","N132",4,"8/1/13","9:50:00","10:30:00",19,20,2.1,2.2,"clear","clear","LCP",3,2013
"pan","N132",4,"8/1/13","8:30:00","1:00:00",15.8,22.1,0.9,1.6,"clear","clear","LCP",NA,2013
"net","N133",1,"7/8/13","9:00:00","10:00:00",22.1,23.8,0.9,1.5,"clear","clear","CRP",1,2013
"net","N133",1,"7/8/13","10:05:00","10:50:00",23.9,24.5,1.4,1.1,"clear","clear","CRP",2,2013
"net","N133",1,"7/8/13","11:00:00","11:50:00",24.8,27,1.5,0.7,"clear","clear","CRP",3,2013
"pan","N133",1,"7/8/13","8:45:00","1:15:00",22.1,27.2,0.8,1.5,"clear","clear","CRP",NA,2013
"net","N133",2,"7/11/13","8:35:00","9:15:00",22.7,27.4,0.3,0.4,"partly cloudy","partly cloudy","GH",1,2013
"net","N133",2,"7/11/13","9:32:00","10:15:00",26.5,29.2,0.6,0.3,"partly cloudy","partly cloudy","GH",2,2013
"net","N133",2,"7/11/13","10:35:00","11:20:00",25.4,27.8,0.3,0.3,"partly cloudy","partly cloudy","GH",3,2013
"pan","N133",2,"7/11/13","8:21:00","12:51:00",19.1,23.5,0.3,1.1,"partly cloudy","partly cloudy","GH",NA,2013
"net","N133",3,"7/23/13","8:35:00","9:25:00",19.4,24.5,0.6,0.5,"clear","bright overcast","LCP",1,2013
"net","N133",3,"7/23/13","9:25:00","10:15:00",24.5,24,0.5,1.2,"bright overcast","bright overcast","LCP",2,2013
"net","N133",3,"7/23/13","10:15:00","11:05:00",24,26.9,1.2,0.7,"bright overcast","bright overcast","LCP",3,2013
"pan","N133",3,"7/23/13","8:25:00","12:55:00",19.4,28.3,0.6,0.5,"clear","bright overcast","LCP",NA,2013
"net","N133",4,"7/25/13","8:36:00","9:15:00",24.3,27.4,0,0.3,"bright overcast","bright overcast","GH",1,2013
"net","N133",4,"7/25/13","9:40:00","10:20:00",26.5,30.6,0.3,0.3,"bright overcast","bright overcast","GH",2,2013
"net","N133",4,"7/25/13","10:45:00","11:21:00",30.2,31.7,0.5,0.3,"bright overcast","bright overcast","GH",3,2013
"pan","N133",4,"7/25/13","8:22:00","12:52:00",20,29.4,0,0.4,"bright overcast","bright overcast","GH",NA,2013
"net","N134",1,"7/8/13","8:50:00","10:00:00",20.3,25.3,0.9,0.8,"clear","clear","LCP",1,2013
"net","N134",1,"7/8/13","10:20:00","11:00:00",24.7,23.6,0.7,1,"clear","clear","LCP",2,2013
"net","N134",1,"7/8/13","11:05:00","12:10:00",24.4,25,1,1.1,"clear","clear","LCP",3,2013
"pan","N134",1,"7/8/13","8:45:00","1:45:00",20.5,24.1,1.2,0.8,"clear","clear","LCP",NA,2013
"net","N134",2,"7/11/13","8:15:00","9:05:00",15.6,21,0,0.8,"partly cloudy","partly cloudy","CRP",1,2013
"net","N134",2,"7/11/13","9:15:00","10:05:00",21,25.3,0.9,0.4,"partly cloudy","partly cloudy","CRP",2,2013
"net","N134",2,"7/11/13","10:15:00","11:15:00",22.5,21.2,0.8,0.8,"partly cloudy","partly cloudy","CRP",3,2013
"pan","N134",2,"7/11/13","8:00:00","12:30:00",15.5,26.3,0,0.4,"partly cloudy","partly cloudy","CRP",NA,2013
"net","N134",3,"7/22/13","8:43:00","9:46:00",22.9,23.4,0,0.3,"bright overcast","bright overcast","GH",1,2013
"net","N134",3,"7/22/13","10:07:00","11:00:00",26.1,25.1,0.4,0.9,"bright overcast","bright overcast","GH",2,2013
"net","N134",3,"7/22/13","11:20:00","12:07:00",26.1,25.2,0,0,"bright overcast","bright overcast","GH",3,2013
"pan","N134",3,"7/22/13","8:30:00","1:00:00",19.8,25.8,0,0.4,"bright overcast","bright overcast","GH",NA,2013
"net","N134",4,"7/25/13","8:30:00","9:35:00",16.3,24.6,0,0.7,"bright overcast","bright overcast","CRP",1,2013
"net","N134",4,"7/25/13","9:45:00","10:50:00",24.6,26,0.5,1,"bright overcast","bright overcast","CRP",2,2013
"net","N134",4,"7/25/13","10:55:00","12:00:00",26.2,28.9,1,0.4,"bright overcast","bright overcast","CRP",3,2013
"pan","N134",4,"7/25/13","8:05:00","12:35:00",16,26,0,1.1,"bright overcast","bright overcast","CRP",NA,2013
"net","N135",1,"7/8/13","9:17:00","9:53:00",24.3,26.2,1,0.6,"clear","clear","GH",1,2013
"net","N135",1,"7/8/13","9:57:00","10:40:00",26.8,27.2,0.4,0.6,"clear","clear","GH",2,2013
"net","N135",1,"7/8/13","11:00:00","11:48:00",27.3,28.9,0.5,0.3,"clear","clear","GH",3,2013
"pan","N135",1,"7/8/13","9:10:00","1:40:00",24.3,24.9,0.4,1,"clear","clear","GH",NA,2013
"net","N135",2,"7/11/13","8:15:00","9:00:00",17.5,25,0.5,0.5,"clear","partly cloudy","LCP",1,2013
"net","N135",2,"7/11/13","9:00:00","9:40:00",25,26.4,0.5,1.1,"partly cloudy","partly cloudy","LCP",2,2013
"net","N135",2,"7/11/13","9:40:00","10:30:00",26.4,22.1,1.1,1.1,"partly cloudy","partly cloudy","LCP",3,2013
"pan","N135",2,"7/11/13","8:05:00","12:35:00",17.5,23.5,0.5,1.2,"partly cloudy","partly cloudy","LCP",NA,2013
"net","N135",3,"7/22/13","8:45:00","9:20:00",20.5,22.2,1,0.9,"partly cloudy","partly cloudy","CRP",1,2013
"net","N135",3,"7/22/13","9:25:00","10:00:00",22.2,25.2,0.8,0.4,"partly cloudy","bright overcast","CRP",2,2013
"net","N135",3,"7/22/13","10:10:00","10:45:00",25.2,30.2,1.2,0.6,"bright overcast","bright overcast","CRP",3,2013
"pan","N135",3,"7/22/13","8:30:00","1:00:00",20.5,24.2,0.9,1.2,"partly cloudy","bright overcast","CRP",NA,2013
"net","N135",4,"7/25/13","8:20:00","9:00:00",18.1,21.7,0.5,0.6,"bright overcast","bright overcast","LCP",1,2013
"net","N135",4,"7/25/13","9:00:00","9:30:00",21.5,26.6,0.6,0.7,"bright overcast","bright overcast","LCP",2,2013
"net","N135",4,"7/25/13","9:30:00","10:10:00",21.5,24,0.6,1.2,"bright overcast","bright overcast","LCP",3,2013
"pan","N135",4,"7/25/13","8:05:00","12:35:00",15.8,25,0.3,0.8,"bright overcast","bright overcast","LCP",NA,2013
"net","N136",1,"7/9/13","9:08:00","10:05:00",18.4,25.9,0,0.3,"clear","clear","GH",1,2013
"net","N136",1,"7/9/13","10:39:00","11:30:00",28.7,32.1,0.5,0,"clear","clear","GH",2,2013
"net","N136",1,"7/9/13","12:15:00","1:02:00",33.1,31.6,0.3,0.6,"clear","clear","GH",3,2013
"pan","N136",1,"7/9/13","9:03:00","1:33:00",18.4,29.3,0,0.4,"clear","clear","GH",NA,2013
"net","N136",2,"7/12/13","8:15:00","9:15:00",15.2,21.4,0.4,0.5,"clear","clear","LCP",1,2013
"net","N136",2,"7/12/13","9:15:00","10:05:00",21.4,24.4,0.5,0.4,"clear","clear","LCP",2,2013
"net","N136",2,"7/12/13","10:05:00","11:00:00",21,24,0.4,0.4,"clear","clear","LCP",3,2013
"pan","N136",2,"7/12/13","8:00:00","12:30:00",15.2,25,0.4,0.4,"clear","clear","LCP",NA,2013
"net","N136",3,"7/24/13","8:35:00","9:40:00",16.4,24.5,0,0,"clear","clear","CRP",1,2013
"net","N136",3,"7/24/13","9:55:00","10:55:00",24.6,26.9,0,0.5,"clear","clear","CRP",2,2013
"net","N136",3,"7/24/13","11:20:00","12:20:00",27.1,28.6,0.6,0.6,"clear","partly cloudy","CRP",3,2013
"pan","N136",3,"7/24/13","8:15:00","12:45:00",16.3,27.5,0,0.8,"clear","partly cloudy","CRP",NA,2013
"net","N136",4,"7/26/13","8:45:00","9:25:00",19.2,21.6,0,0.6,"clear","clear","LCP",1,2013
"net","N136",4,"7/26/13","9:25:00","10:15:00",21.6,27.1,0.6,0.5,"clear","clear","LCP",2,2013
"net","N136",4,"7/26/13","10:20:00","11:10:00",27.6,28.5,0,0.5,"clear","clear","LCP",3,2013
"pan","N136",4,"7/26/13","8:15:00","12:45:00",16.8,28.5,0,0.6,"clear","partly cloudy","LCP",NA,2013
"net","N137",1,"7/9/13","9:10:00","10:00:00",18.4,22.9,1.6,1,"clear","clear","CRP",1,2013
"net","N137",1,"7/9/13","10:10:00","11:05:00",23.2,26.8,1.1,2.4,"clear","clear","CRP",2,2013
"net","N137",1,"7/9/13","11:10:00","12:00:00",26.9,28.2,2.5,0.8,"clear","clear","CRP",3,2013
"pan","N137",1,"7/9/13","9:00:00","1:30:00",18.4,28,1.6,1.5,"clear","clear","CRP",NA,2013
"net","N137",2,"7/12/13","8:35:00","9:17:00",16.1,18.7,0.3,0.3,"clear","clear","GH",1,2013
"net","N137",2,"7/12/13","9:35:00","10:18:00",22.6,23.6,0.3,0.4,"clear","clear","GH",2,2013
"net","N137",2,"7/12/13","10:46:00","11:25:00",26.9,26.5,0.6,1,"clear","clear","GH",3,2013
"pan","N137",2,"7/12/13","8:30:00","1:00:00",15.6,31.9,0.3,0.7,"clear","clear","GH",NA,2013
"net","N137",3,"7/24/13","8:45:00","9:30:00",17.2,22.6,0,0.5,"clear","clear","LCP",1,2013
"net","N137",3,"7/24/13","9:30:00","10:30:00",22.6,27.8,0.5,0.6,"clear","clear","LCP",2,2013
"net","N137",3,"7/24/13","10:35:00","11:30:00",27.8,33.3,0.6,1.9,"clear","partly cloudy","LCP",3,2013
"pan","N137",3,"7/24/13","8:30:00","1:00:00",17.2,27.2,0,1,"clear","partly cloudy","LCP",NA,2013
"net","N137",4,"7/26/13","8:45:00","9:20:00",16.5,20.6,0,0.4,"clear","partly cloudy","CRP",1,2013
"net","N137",4,"7/26/13","9:35:00","10:30:00",20.6,26,0.7,0.7,"partly cloudy","partly cloudy","CRP",2,2013
"net","N137",4,"7/26/13","10:45:00","11:40:00",28,24.3,1.2,1.5,"partly cloudy","partly cloudy","CRP",3,2013
"pan","N137",4,"7/26/13","8:30:00","1:00:00",16.4,23.2,0,1.3,"clear","partly cloudy","CRP",NA,2013
"net","N139",1,"7/9/13","9:15:00","10:00:00",18.5,24.7,1.1,1.3,"clear","clear","LCP",1,2013
"net","N139",1,"7/9/13","10:05:00","10:45:00",23,24.3,1.3,1.3,"clear","clear","LCP",2,2013
"net","N139",1,"7/9/13","10:45:00","11:35:00",23,24.2,1.3,2.3,"clear","clear","LCP",3,2013
"pan","N139",1,"7/9/13","9:00:00","1:30:00",18.5,25.6,1.1,2.8,"clear","clear","LCP",NA,2013
"net","N139",2,"7/12/13","8:30:00","9:15:00",15.7,18.3,0.8,0.8,"clear","clear","CRP",1,2013
"net","N139",2,"7/12/13","9:25:00","10:00:00",19.5,21.6,0.6,0.6,"clear","clear","CRP",2,2013
"net","N139",2,"7/12/13","10:00:00","10:35:00",21.6,25.8,0.6,0.8,"clear","clear","CRP",3,2013
"pan","N139",2,"7/12/13","8:15:00","12:45:00",15.7,22.5,0.8,2.1,"clear","clear","CRP",NA,2013
"net","N139",3,"7/24/13","8:50:00","9:25:00",21.2,21.8,0.3,0.3,"clear","clear","GH",1,2013
"net","N139",3,"7/24/13","9:38:00","10:14:00",22.3,26.3,0.4,0.3,"clear","clear","GH",2,2013
"net","N139",3,"7/24/13","10:43:00","11:18:00",28.2,28.7,0.6,0.5,"clear","clear","GH",3,2013
"pan","N139",3,"7/24/13","8:35:00","1:05:00",18.9,30.7,0.5,0.3,"clear","partly cloudy","GH",NA,2013
"net","N139",4,"7/26/13","8:52:00","9:24:00",23.2,23.4,0,0.3,"clear","clear","GH",1,2013
"net","N139",4,"7/26/13","9:55:00","10:32:00",24.1,29.7,0.5,0.7,"clear","clear","GH",2,2013
"net","N139",4,"7/26/13","10:53:00","11:28:00",29.7,29.8,0.5,0.7,"partly cloudy","partly cloudy","GH",3,2013
"pan","N139",4,"7/26/13","8:39:00","1:09:00",20.7,29.2,0.4,0.7,"clear","bright overcast","GH",NA,2013
"net","P24",1,"6/27/13","8:20:00","8:50:00",19.4,24.6,0,0,"clear","clear","CC",1,2013
"net","P24",1,"6/27/13","8:50:00","9:20:00",24.6,24.2,0,0,"clear","clear","CC",2,2013
"net","P24",1,"6/27/13","9:25:00","9:55:00",24.2,25.5,0,0.3,"clear","clear","CC",3,2013
"pan","P24",1,"6/27/13","8:20:00","12:50:00",19.4,25.5,0,0.3,"clear","clear","CC",NA,2013
"net","P24",2,"7/13/13","10:00:00","10:35:00",20.1,20,0.4,0.7,"clear","clear","CRP",1,2013
"net","P24",2,"7/13/13","10:35:00","11:10:00",20,21.8,0.7,1.1,"clear","clear","CRP",2,2013
"net","P24",2,"7/13/13","11:20:00","11:55:00",22,23.2,1,0.8,"clear","clear","CRP",3,2013
"pan","P24",2,"7/13/13","9:45:00","2:15:00",20.2,24.1,0.3,0.6,"clear","clear","CRP",NA,2013
"net","P24",3,"7/19/13","9:00:00","9:40:00",20.8,21.8,0,0,"clear","clear","CRP",1,2013
"net","P24",3,"7/19/13","9:45:00","10:25:00",21.8,24.8,0,1,"clear","clear","CRP",2,2013
"net","P24",3,"7/19/13","10:30:00","11:05:00",24.9,27,0.8,1.5,"clear","clear","CRP",3,2013
"pan","P24",3,"7/19/13","8:45:00","1:15:00",20.8,28.7,0,0.4,"clear","clear","CRP",NA,2013
"net","P24",4,"7/29/13","9:21:00","9:54:00",19,21.4,0.3,0.6,"clear","clear","GH",1,2013
"net","P24",4,"7/29/13","10:00:00","10:36:00",20.7,22.9,0.5,0.3,"clear","partly cloudy","GH",2,2013
"net","P24",4,"7/29/13","10:56:00","11:29:00",28.4,26.6,0.3,0.3,"partly cloudy","partly cloudy","GH",3,2013
"pan","P24",4,"7/29/13","9:06:00","1:36:00",17.9,27.3,0.6,0.5,"clear","partly cloudy","GH",NA,2013
"net","P310",1,"6/29/13","8:05:00","9:05:00",18.2,24,0,0.6,"clear","clear","LCP",1,2013
"net","P310",1,"6/29/13","9:05:00","9:45:00",24,28.5,0.3,0,"clear","clear","LCP",2,2013
"net","P310",1,"6/29/13","9:45:00","10:30:00",28.5,27.2,0,0.7,"clear","clear","LCP",3,2013
"pan","P310",1,"6/29/13","8:05:00","1:05:00",18.2,29.5,0,2.4,"clear","clear","LCP",NA,2013
"net","P310",2,"7/13/13","9:00:00","10:34:00",17.6,22.6,1.7,0.5,"clear","clear","BES",1,2013
"net","P310",2,"7/13/13","10:34:00","11:50:00",21.7,23.8,1.3,1,"clear","clear","BES",2,2013
"net","P310",2,"7/13/13","11:50:00","1:23:00",24.3,24.8,1.2,0.7,"clear","clear","BES",3,2013
"pan","P310",2,"7/13/13","8:56:00","1:37:00",17.7,24.9,0.8,0.8,"clear","clear","BES",NA,2013
"pan","P310",3,"7/17/13","9:00:00","1:30:00",17.6,25.5,1.1,1,"clear","clear","CRP",NA,2013
"net","P310",3,"7/17/13","9:10:00","10:00:00",17.6,20.5,1,2,"clear","clear","CRP",1,2013
"net","P310",3,"7/17/13","10:15:00","11:05:00",20,21,1.5,2,"clear","clear","CRP",2,2013
"net","P310",3,"7/17/13","11:15:00","12:20:00",21.9,22.2,2,1.5,"clear","clear","CRP",3,2013
"net","P310",4,"7/31/13","8:37:00","9:16:00",18.3,21.3,0.3,0.3,"clear","clear","GH",1,2013
"net","P310",4,"7/31/13","9:35:00","10:15:00",24.2,25.3,0.3,0.4,"clear","clear","GH",2,2013
"net","P310",4,"7/31/13","10:30:00","11:11:00",26.3,28.4,0.3,0.5,"clear","clear","GH",3,2013
"pan","P310",4,"7/31/13","8:24:00","12:54:00",16.2,32.5,0.4,0.7,"clear","clear","GH",NA,2013
"net","P33",1,"6/27/13","9:20:00","10:30:00",21,24.9,0.7,0.9,"clear","clear","CRP",1,2013
"net","P33",1,"6/27/13","10:55:00","12:00:00",24.8,26.5,0.5,0.7,"clear","clear","CRP",2,2013
"net","P33",1,"6/27/13","12:20:00","1:35:00",27,30.5,1.1,1.5,"clear","clear","CRP",3,2013
"pan","P33",1,"6/27/13","9:20:00","1:50:00",21,30.5,0.7,1.5,"clear","clear","CRP",NA,2013
"net","P33",2,"7/13/13","9:50:00","10:45:00",18.1,24.6,0,0.4,"clear","clear","RW",1,2013
"net","P33",2,"7/13/13","10:55:00","11:40:00",24,24.7,2.4,0.6,"clear","clear","RW",2,2013
"net","P33",2,"7/13/13","11:45:00","12:35:00",24.3,26.6,2.1,0.9,"clear","clear","RW",3,2013
"pan","P33",2,"7/13/13","9:25:00","1:55:00",18.5,27.2,0,1.3,"clear","clear","RW",NA,2013
"net","P33",3,"7/18/13","9:15:00","9:50:00",21.4,22.2,0.3,0.6,"clear","clear","GH",1,2013
