"EMEC","UniqueID","TempID","Order","Family","Genus","SubGenus","Species","SubSpecies","GeneralID","Sex","NetPan","Site","Year","Collector","SampleRound","Date","PanColor","PanID","NetNumber","FinalPlantSp","DateDetermined","Determiner","Author"
1040119,"YOSE-7420_EMEC_7103",7103,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040120,"YOSE-7420_EMEC_7104",7104,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","T. Griswold","Cockerell"
1040121,"YOSE-7420_EMEC_7105",7105,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","L. Ponisio","Linsley & MacSwain"
1040122,"YOSE-7420_EMEC_7106",7106,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040123,"YOSE-7420_EMEC_7107",7107,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040123,"YOSE-7420_EMEC_7107",7107,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040125,"YOSE-7420_EMEC_7109",7109,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Achillea millefolium","2015","L. Ponisio","Linsley & MacSwain"
1040160,"YOSE-7420_EMEC_7144",7144,"Hymenoptera","Apidae","Apis","Apis","mellifera","","Bee","f","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Linnaeus"
1040161,"YOSE-7420_EMEC_7145",7145,"Hymenoptera","Andrenidae","Andrena","Andrena","edwardsi","","Bee","f","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Viereck"
1040162,"YOSE-7420_EMEC_7146",7146,"Hymenoptera","Andrenidae","Andrena","Andrena","edwardsi","","Bee","f","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Viereck"
1040163,"YOSE-7420_EMEC_7147",7147,"Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","Bee","f","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Viereck"
1040164,"YOSE-7420_EMEC_7148",7148,"Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","Bee","f","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Viereck"
1040165,"YOSE-7420_EMEC_7149",7149,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Bee","f","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","Jason Gibbs",""
1040166,"YOSE-7420_EMEC_7150",7150,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Bee","f","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","Jason Gibbs",""
1040167,"YOSE-7420_EMEC_7151",7151,NA,NA,NA,NA,NA,NA,NA,NA,"net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040168,"YOSE-7420_EMEC_7152",7152,"Diptera","Bombyliidae","Conophorus","","sp","a","Fly","","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser",""
1040169,"YOSE-7420_EMEC_7153",7153,"Diptera","Bombyliidae","Conophorus","","sp","a","Fly","","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser",""
1040170,"YOSE-7420_EMEC_7154",7154,"Diptera","Bombyliidae","Conophorus","","sp","a","Fly","","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser",""
1040171,"YOSE-7420_EMEC_7155",7155,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","L. Ponisio","Linsley & MacSwain"
1040172,"YOSE-7420_EMEC_7156",7156,"Diptera","Syrphinae","Eristalis","","rupium","","Fly","m","net","P310",2014,"LCP",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser","Fabricus"
1040177,"YOSE-7420_EMEC_7161",7161,"Hymenoptera","Apidae","Bombus","Bombus","vosnesenskii","","Bee","f","net","L35",2014,"LTC",1,"6/12/14","","",1,"Lupinus latifolius var. columbianus","2013-2015","R.W. Thorp","Radoszkowski"
1040178,"YOSE-7420_EMEC_7162",7162,"Diptera","Bombyliidae","Bombylius","","sp.","a","Fly","","net","L35",2014,"LTC",1,"6/12/14","","",1,"Delphinium sp.","2015","M. Hauser",""
1040179,"YOSE-7420_EMEC_7163",7163,"Diptera","Bombyliidae","Conophorus","","sp","a","Fly","","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser",""
1040180,"YOSE-7420_EMEC_7164",7164,"Coleoptera",NA,"Cosmosalia","","chrysocoma","","Beetle","","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","L. Ponisio","Kirby"
1040182,"YOSE-7420_EMEC_7166",7166,"Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Viereck"
1040183,"YOSE-7420_EMEC_7167",7167,"Hymenoptera","Andrenidae","Andrena","Andrena","ceanothifloris","cretata","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","LaBerge"
1040184,"YOSE-7420_EMEC_7168",7168,"Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","T. Griswold","Cockerell"
1040185,"YOSE-7420_EMEC_7169",7169,"Hymenoptera","Andrenidae","Andrena","Andrena","birtwelli","","Bee","m","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Cockerell"
1040186,"YOSE-7420_EMEC_7170",7170,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040187,"YOSE-7420_EMEC_7171",7171,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040188,"YOSE-7420_EMEC_7172",7172,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040189,"YOSE-7420_EMEC_7173",7173,"Diptera","Bombyliidae","Conophorus","","sp","a","Fly","","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser",""
1040198,"YOSE-7420_EMEC_7182",7182,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","albifrons","albifrons","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","T. Griswold","Kirby"
1040199,"YOSE-7420_EMEC_7183",7183,"Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Viereck"
1040200,"YOSE-7420_EMEC_7184",7184,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","fulgida","platyura","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","T. Griswold","Cockerell"
1040201,"YOSE-7420_EMEC_7185",7185,"Hymenoptera","Andrenidae","Andrena","Thysandrena","knuthiana","","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Cockerell"
1040202,"YOSE-7420_EMEC_7186",7186,"Hymenoptera","Colletidae","Hylaeus","Cephalylaeus","basalis","","Bee","m","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","L. Ponisio","Smith"
1040203,"YOSE-7420_EMEC_7187",7187,"Hymenoptera","Colletidae","Hylaeus","","spp.","big","Bee","m","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","L. Ponisio",""
1040204,"YOSE-7420_EMEC_7188",7188,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","cyaneonotum","","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","Jason Gibbs",""
1040205,"YOSE-7420_EMEC_7189",7189,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","Jason Gibbs",""
1040206,"YOSE-7420_EMEC_7190",7190,"Hymenoptera","Colletidae","Hylaeus","","spp.","big","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","L. Ponisio",""
1040207,"YOSE-7420_EMEC_7191",7191,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","Jason Gibbs",""
1040208,"YOSE-7420_EMEC_7192",7192,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Bee","f","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","Jason Gibbs",""
1040209,"YOSE-7420_EMEC_7193",7193,"Hymenoptera","Megachilidae","Chelostoma","Chelostoma","minutum","","Bee","m","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2013-2015","R.W. Thorp","Crawford"
1040210,"YOSE-7420_EMEC_7194",7194,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040211,"YOSE-7420_EMEC_7195",7195,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040212,"YOSE-7420_EMEC_7196",7196,"Diptera","Syrphinae","Myolepta","","lunulata","","Fly","","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser","Bigot"
1040213,"YOSE-7420_EMEC_7197",7197,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040214,"YOSE-7420_EMEC_7198",7198,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040215,"YOSE-7420_EMEC_7199",7199,"Coleoptera",NA,"Cosmosalia","","chrysocoma","","Beetle","","net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","L. Ponisio","Kirby"
1040216,"YOSE-7420_EMEC_7200",7200,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040217,"YOSE-7420_EMEC_7201",7201,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040218,"YOSE-7420_EMEC_7202",7202,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040219,"YOSE-7420_EMEC_7203",7203,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040220,"YOSE-7420_EMEC_7204",7204,NA,NA,NA,NA,NA,NA,NA,NA,"net","P33",2014,"AJR",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040227,"YOSE-7420_EMEC_7211",7211,"Hymenoptera","Halictidae","Lasioglossum","Lasioglossum","anhypops","","Bee","f","net","L33",2014,"AJR",1,"6/13/14","","",1,"Senecio scorzonella","2013-2015","R.W. Thorp","McGinley"
1040243,"YOSE-7420_EMEC_7227",7227,"Hymenoptera","Megachilidae","Megachile","Sayapis","pugnata","pomona","Bee","m","net","L24",2014,"LKM",1,"6/13/14","","",1,"Monardella odoratissima ssp. pallida","2013-2015","T. Griswold","Cockerell"
1040244,"YOSE-7420_EMEC_7228",7228,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","fulgida","platyura","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Monardella odoratissima ssp. pallida","2013-2015","T. Griswold","Cockerell"
1040245,"YOSE-7420_EMEC_7229",7229,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","fulgida","platyura","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Monardella odoratissima ssp. pallida","2013-2015","T. Griswold","Cockerell"
1040246,"YOSE-7420_EMEC_7230",7230,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L24",2014,"LKM",1,"6/13/14","","",1,"Monardella odoratissima ssp. pallida","2015","L. Ponisio","Linsley & MacSwain"
1040256,"YOSE-7420_EMEC_7240",7240,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2013-2015","Jason Gibbs",""
1040257,"YOSE-7420_EMEC_7241",7241,"Hymenoptera","Halictidae","Lasioglossum","Hemihalictus","glabriventre","","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2013-2015","Jason Gibbs",""
1040258,"YOSE-7420_EMEC_7242",7242,"Hymenoptera","Halictidae","Lasioglossum","Hemihalictus","glabriventre","","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2013-2015","Jason Gibbs",""
1040259,"YOSE-7420_EMEC_7243",7243,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2015","L. Ponisio","Linsley & MacSwain"
1040260,"YOSE-7420_EMEC_7244",7244,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2015","L. Ponisio","Linsley & MacSwain"
1040261,"YOSE-7420_EMEC_7245",7245,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2015","L. Ponisio","Linsley & MacSwain"
1040262,"YOSE-7420_EMEC_7246",7246,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2015","L. Ponisio","Linsley & MacSwain"
1040263,"YOSE-7420_EMEC_7247",7247,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2015","L. Ponisio","Linsley & MacSwain"
1040264,"YOSE-7420_EMEC_7248",7248,"Hymenoptera","Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","Bee","m","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2013-2015","T. Griswold","Cockerell"
1040265,"YOSE-7420_EMEC_7249",7249,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2013-2015","",""
1040266,"YOSE-7420_EMEC_7250",7250,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2013-2015","",""
1040267,"YOSE-7420_EMEC_7251",7251,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Potentilla glandulosa","2013-2015","",""
1040277,"YOSE-7420_EMEC_7261",7261,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Ceanothus cordulatus","2013-2015","Jason Gibbs",""
1040310,"YOSE-7420_EMEC_7294",7294,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Bee","f","net","L24",2014,"LKM",1,"6/13/14","","",1,"Senecio aronicoides","2013-2015","Jason Gibbs",""
1040311,"YOSE-7420_EMEC_7295",7295,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L24",2014,"LKM",1,"6/13/14","","",1,"Senecio aronicoides","2015","L. Ponisio","Linsley & MacSwain"
1040316,"YOSE-7420_EMEC_7300",7300,"Hymenoptera","Apidae","Apis","Apis","mellifera","","Bee","f","net","P37",2014,"LTC",1,"6/13/14","","",1,"Horkelia fusca","2013-2015","R.W. Thorp","Linnaeus"
1040317,"YOSE-7420_EMEC_7301",7301,"Hymenoptera","Megachilidae","Anthidium","Anthidium","mormonum","","Bee","f","net","P37",2014,"LTC",1,"6/13/14","","",1,"Horkelia fusca","2013-2015","T. Griswold","Cresson"
