"EMEC","UniqueID","TempID","Year","Site","Date","NetPan","PanColor","PanID","SampleRound","NetNumber","Collector","FieldPlantSp","PlantSp","Order","Family","Genus","Subgenus","Species","Subspecies","Sex","Determiner","DateDetermined","Author","GeneralID"
1040021,"YOSE-7420_EMEC_7005",7005,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040022,"YOSE-7420_EMEC_7006",7006,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040023,"YOSE-7420_EMEC_7007",7007,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040024,"YOSE-7420_EMEC_7008",7008,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040025,"YOSE-7420_EMEC_7009",7009,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040033,"YOSE-7420_EMEC_7017",7017,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040034,"YOSE-7420_EMEC_7018",7018,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040035,"YOSE-7420_EMEC_7019",7019,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040036,"YOSE-7420_EMEC_7020",7020,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040037,"YOSE-7420_EMEC_7021",7021,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus","Diptera","Bombyliidae","Bombylius","","sp.","a","","M. Hauser","2015","","Fly"
1040038,"YOSE-7420_EMEC_7022",7022,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040039,"YOSE-7420_EMEC_7023",7023,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus","Diptera","Syrphinae","Eristalis","","hirta","","f","M. Hauser","2015","Loew","Fly"
1040040,"YOSE-7420_EMEC_7024",7024,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040041,"YOSE-7420_EMEC_7025",7025,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus","Coleoptera",NA,"Grammoptera","","subargentata","","","L. Ponisio","2015","Kirby","Beetle"
1040042,"YOSE-7420_EMEC_7026",7026,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040043,"YOSE-7420_EMEC_7027",7027,2014,"L21","6/12/14","net","","",1,1,"LKM ","MONODO","Monardella odoratissima ssp. pallida","Hymenoptera","Vespidae","Pseudomasaris","","zonalis","","f","L.Ponisio","2015","Cresson","Wasp"
1040044,"YOSE-7420_EMEC_7028",7028,2014,"L21","6/12/14","net","","",1,1,"LKM ","MONODO","Monardella odoratissima ssp. pallida","Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040045,"YOSE-7420_EMEC_7029",7029,2014,"L21","6/12/14","net","","",1,1,"LKM ","MONODO","Monardella odoratissima ssp. pallida","Hymenoptera","Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","f","T. Griswold","2013-2015","Cockerell","Bee"
1040046,"YOSE-7420_EMEC_7030",7030,2014,"L21","6/12/14","net","","",1,1,"LKM ","MONODO","Monardella odoratissima ssp. pallida","Hymenoptera","Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","m","T. Griswold","2013-2015","Cockerell","Bee"
1040047,"YOSE-7420_EMEC_7031",7031,2014,"L21","6/12/14","net","","",1,1,"LKM ","MONODO","Monardella odoratissima ssp. pallida","Hymenoptera","Megachilidae","Chelostoma","Chelostoma","minutum","","f","R.W. Thorp","2013-2015","Crawford","Bee"
1040074,"YOSE-7420_EMEC_7058",7058,2014,"L21","6/12/14","net","","",1,1,"LKM ","SENARO","Senecio aronicoides","Hymenoptera","Megachilidae","Stelis","Stelis","montana","","m","T. Griswold","2013-2015","Cresson","Bee"
1040109,"YOSE-7420_EMEC_7093",7093,2014,"L21","6/12/14","net","","",1,1,"LKM","Calochortus spp.","Calochortus spp.","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040118,"YOSE-7420_EMEC_7102",7102,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040119,"YOSE-7420_EMEC_7103",7103,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040120,"YOSE-7420_EMEC_7104",7104,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040121,"YOSE-7420_EMEC_7105",7105,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040122,"YOSE-7420_EMEC_7106",7106,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040123,"YOSE-7420_EMEC_7107",7107,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040123,"YOSE-7420_EMEC_7107",7107,2014,"L21","6/12/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040125,"YOSE-7420_EMEC_7109",7109,2014,"L21","6/12/14","net","","",1,1,"LKM","ACHMIL","Achillea millefolium","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040160,"YOSE-7420_EMEC_7144",7144,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Hymenoptera","Apidae","Apis","Apis","mellifera","","f","R.W. Thorp","2013-2015","Linnaeus","Bee"
1040161,"YOSE-7420_EMEC_7145",7145,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Andrena","edwardsi","","f","R.W. Thorp","2013-2015","Viereck","Bee"
1040162,"YOSE-7420_EMEC_7146",7146,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Andrena","edwardsi","","f","R.W. Thorp","2013-2015","Viereck","Bee"
1040163,"YOSE-7420_EMEC_7147",7147,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","f","R.W. Thorp","2013-2015","Viereck","Bee"
1040164,"YOSE-7420_EMEC_7148",7148,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","f","R.W. Thorp","2013-2015","Viereck","Bee"
1040165,"YOSE-7420_EMEC_7149",7149,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","f","Jason Gibbs","2013-2015","","Bee"
1040166,"YOSE-7420_EMEC_7150",7150,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","f","Jason Gibbs","2013-2015","","Bee"
1040167,"YOSE-7420_EMEC_7151",7151,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040168,"YOSE-7420_EMEC_7152",7152,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Diptera","Bombyliidae","Conophorus","","sp","a","","M. Hauser","2015","","Fly"
1040169,"YOSE-7420_EMEC_7153",7153,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Diptera","Bombyliidae","Conophorus","","sp","a","","M. Hauser","2015","","Fly"
1040170,"YOSE-7420_EMEC_7154",7154,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Diptera","Bombyliidae","Conophorus","","sp","a","","M. Hauser","2015","","Fly"
1040171,"YOSE-7420_EMEC_7155",7155,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040172,"YOSE-7420_EMEC_7156",7156,2014,"P310","6/12/14","net","","",1,1,"LCP","CEACOR","Ceanothus cordulatus","Diptera","Syrphinae","Eristalis","","rupium","","m","M. Hauser","2015","Fabricus","Fly"
1040177,"YOSE-7420_EMEC_7161",7161,2014,"L35","6/12/14","net","","",1,1,"LTC","LUPLAT","Lupinus latifolius var. columbianus","Hymenoptera","Apidae","Bombus","Bombus","vosnesenskii","","f","R.W. Thorp","2013-2015","Radoszkowski","Bee"
1040178,"YOSE-7420_EMEC_7162",7162,2014,"L35","6/12/14","net","","",1,1,"LTC","Delphinium sp.","Delphinium sp.","Diptera","Bombyliidae","Bombylius","","sp.","a","","M. Hauser","2015","","Fly"
1040179,"YOSE-7420_EMEC_7163",7163,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Diptera","Bombyliidae","Conophorus","","sp","a","","M. Hauser","2015","","Fly"
1040180,"YOSE-7420_EMEC_7164",7164,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Coleoptera",NA,"Cosmosalia","","chrysocoma","","","L. Ponisio","2015","Kirby","Beetle"
1040182,"YOSE-7420_EMEC_7166",7166,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","f","R.W. Thorp","2013-2015","Viereck","Bee"
1040183,"YOSE-7420_EMEC_7167",7167,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Andrena","ceanothifloris","cretata","f","R.W. Thorp","2013-2015","LaBerge","Bee"
1040184,"YOSE-7420_EMEC_7168",7168,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040185,"YOSE-7420_EMEC_7169",7169,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Andrena","birtwelli","","m","R.W. Thorp","2013-2015","Cockerell","Bee"
1040186,"YOSE-7420_EMEC_7170",7170,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040187,"YOSE-7420_EMEC_7171",7171,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040188,"YOSE-7420_EMEC_7172",7172,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040189,"YOSE-7420_EMEC_7173",7173,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Diptera","Bombyliidae","Conophorus","","sp","a","","M. Hauser","2015","","Fly"
1040198,"YOSE-7420_EMEC_7182",7182,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Megachilidae","Hoplitis","Monumetha","albifrons","albifrons","f","T. Griswold","2013-2015","Kirby","Bee"
1040199,"YOSE-7420_EMEC_7183",7183,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","f","R.W. Thorp","2013-2015","Viereck","Bee"
1040200,"YOSE-7420_EMEC_7184",7184,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Megachilidae","Hoplitis","Monumetha","fulgida","platyura","f","T. Griswold","2013-2015","Cockerell","Bee"
1040201,"YOSE-7420_EMEC_7185",7185,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Andrenidae","Andrena","Thysandrena","knuthiana","","f","R.W. Thorp","2013-2015","Cockerell","Bee"
1040202,"YOSE-7420_EMEC_7186",7186,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Colletidae","Hylaeus","Cephalylaeus","basalis","","m","L. Ponisio","2013-2015","Smith","Bee"
1040203,"YOSE-7420_EMEC_7187",7187,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Colletidae","Hylaeus","","spp.","big","m","L. Ponisio","2013-2015","","Bee"
1040204,"YOSE-7420_EMEC_7188",7188,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Halictidae","Lasioglossum","Dialictus","cyaneonotum","","f","Jason Gibbs","2013-2015","","Bee"
1040205,"YOSE-7420_EMEC_7189",7189,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","f","Jason Gibbs","2013-2015","","Bee"
1040206,"YOSE-7420_EMEC_7190",7190,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Colletidae","Hylaeus","","spp.","big","f","L. Ponisio","2013-2015","","Bee"
1040207,"YOSE-7420_EMEC_7191",7191,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","f","Jason Gibbs","2013-2015","","Bee"
1040208,"YOSE-7420_EMEC_7192",7192,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","f","Jason Gibbs","2013-2015","","Bee"
1040209,"YOSE-7420_EMEC_7193",7193,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Hymenoptera","Megachilidae","Chelostoma","Chelostoma","minutum","","m","R.W. Thorp","2013-2015","Crawford","Bee"
1040210,"YOSE-7420_EMEC_7194",7194,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040211,"YOSE-7420_EMEC_7195",7195,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040212,"YOSE-7420_EMEC_7196",7196,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Diptera","Syrphinae","Myolepta","","lunulata","","","M. Hauser","2015","Bigot","Fly"
1040213,"YOSE-7420_EMEC_7197",7197,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040214,"YOSE-7420_EMEC_7198",7198,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040215,"YOSE-7420_EMEC_7199",7199,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus","Coleoptera",NA,"Cosmosalia","","chrysocoma","","","L. Ponisio","2015","Kirby","Beetle"
1040216,"YOSE-7420_EMEC_7200",7200,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040217,"YOSE-7420_EMEC_7201",7201,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040218,"YOSE-7420_EMEC_7202",7202,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040219,"YOSE-7420_EMEC_7203",7203,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040220,"YOSE-7420_EMEC_7204",7204,2014,"P33","6/12/14","net","","",1,1,"AJR","CEACOR","Ceanothus cordulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040227,"YOSE-7420_EMEC_7211",7211,2014,"L33","6/13/14","net","","",1,1,"AJR","SENSCO","Senecio scorzonella","Hymenoptera","Halictidae","Lasioglossum","Lasioglossum","anhypops","","f","R.W. Thorp","2013-2015","McGinley","Bee"
1040243,"YOSE-7420_EMEC_7227",7227,2014,"L24","6/13/14","net","","",1,1,"LKM","MONODO","Monardella odoratissima ssp. pallida","Hymenoptera","Megachilidae","Megachile","Sayapis","pugnata","pomona","m","T. Griswold","2013-2015","Cockerell","Bee"
1040244,"YOSE-7420_EMEC_7228",7228,2014,"L24","6/13/14","net","","",1,1,"LKM","MONODO","Monardella odoratissima ssp. pallida","Hymenoptera","Megachilidae","Hoplitis","Monumetha","fulgida","platyura","f","T. Griswold","2013-2015","Cockerell","Bee"
1040245,"YOSE-7420_EMEC_7229",7229,2014,"L24","6/13/14","net","","",1,1,"LKM","MONODO","Monardella odoratissima ssp. pallida","Hymenoptera","Megachilidae","Hoplitis","Monumetha","fulgida","platyura","f","T. Griswold","2013-2015","Cockerell","Bee"
1040246,"YOSE-7420_EMEC_7230",7230,2014,"L24","6/13/14","net","","",1,1,"LKM","MONODO","Monardella odoratissima ssp. pallida","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040256,"YOSE-7420_EMEC_7240",7240,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","f","Jason Gibbs","2013-2015","","Bee"
1040257,"YOSE-7420_EMEC_7241",7241,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Hymenoptera","Halictidae","Lasioglossum","Hemihalictus","glabriventre","","f","Jason Gibbs","2013-2015","","Bee"
1040258,"YOSE-7420_EMEC_7242",7242,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Hymenoptera","Halictidae","Lasioglossum","Hemihalictus","glabriventre","","f","Jason Gibbs","2013-2015","","Bee"
1040259,"YOSE-7420_EMEC_7243",7243,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040260,"YOSE-7420_EMEC_7244",7244,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040261,"YOSE-7420_EMEC_7245",7245,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040262,"YOSE-7420_EMEC_7246",7246,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040263,"YOSE-7420_EMEC_7247",7247,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
1040264,"YOSE-7420_EMEC_7248",7248,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Hymenoptera","Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","m","T. Griswold","2013-2015","Cockerell","Bee"
1040265,"YOSE-7420_EMEC_7249",7249,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","f","","2013-2015","","Bee"
1040266,"YOSE-7420_EMEC_7250",7250,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","f","","2013-2015","","Bee"
1040267,"YOSE-7420_EMEC_7251",7251,2014,"L24","6/13/14","net","","",1,1,"LKM","POTGLA","Potentilla glandulosa","Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","f","","2013-2015","","Bee"
1040277,"YOSE-7420_EMEC_7261",7261,2014,"L24","6/13/14","net","","",1,1,"LKM","CEACOR","Ceanothus cordulatus","Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","f","Jason Gibbs","2013-2015","","Bee"
