"EMEC","UniqueID","TempID","Collector","InsectFK","PlantFK","PanFK","ConditionsFK","GeographyFK"
1040121,"YOSE-7420_EMEC_7105",7105,"LKM",7,14,1,290,1
1040122,"YOSE-7420_EMEC_7106",7106,"LKM",8,14,1,290,1
1040123,"YOSE-7420_EMEC_7107",7107,"LKM",8,14,1,290,1
1040125,"YOSE-7420_EMEC_7109",7109,"LKM",7,2,1,290,1
1040160,"YOSE-7420_EMEC_7144",7144,"LCP",17,14,1,502,53
1040161,"YOSE-7420_EMEC_7145",7145,"LCP",18,14,1,502,53
1040162,"YOSE-7420_EMEC_7146",7146,"LCP",18,14,1,502,53
1040163,"YOSE-7420_EMEC_7147",7147,"LCP",19,14,1,502,53
1040164,"YOSE-7420_EMEC_7148",7148,"LCP",19,14,1,502,53
1040165,"YOSE-7420_EMEC_7149",7149,"LCP",20,14,1,502,53
1040166,"YOSE-7420_EMEC_7150",7150,"LCP",20,14,1,502,53
1040167,"YOSE-7420_EMEC_7151",7151,"LCP",8,14,1,502,53
1040168,"YOSE-7420_EMEC_7152",7152,"LCP",21,14,1,502,53
1040169,"YOSE-7420_EMEC_7153",7153,"LCP",21,14,1,502,53
1040170,"YOSE-7420_EMEC_7154",7154,"LCP",21,14,1,502,53
1040171,"YOSE-7420_EMEC_7155",7155,"LCP",7,14,1,502,53
1040172,"YOSE-7420_EMEC_7156",7156,"LCP",22,14,1,502,53
1040177,"YOSE-7420_EMEC_7161",7161,"LTC",23,45,1,342,8
1040178,"YOSE-7420_EMEC_7162",7162,"LTC",9,20,1,342,8
1040179,"YOSE-7420_EMEC_7163",7163,"AJR",21,14,1,518,55
1040180,"YOSE-7420_EMEC_7164",7164,"AJR",24,14,1,518,55
1040182,"YOSE-7420_EMEC_7166",7166,"AJR",19,14,1,518,55
1040183,"YOSE-7420_EMEC_7167",7167,"AJR",25,14,1,518,55
1040184,"YOSE-7420_EMEC_7168",7168,"AJR",5,14,1,518,55
1040185,"YOSE-7420_EMEC_7169",7169,"AJR",26,14,1,518,55
1040186,"YOSE-7420_EMEC_7170",7170,"AJR",8,14,1,518,55
1040187,"YOSE-7420_EMEC_7171",7171,"AJR",8,14,1,518,55
1040188,"YOSE-7420_EMEC_7172",7172,"AJR",8,14,1,518,55
1040189,"YOSE-7420_EMEC_7173",7173,"AJR",21,14,1,518,55
1040198,"YOSE-7420_EMEC_7182",7182,"AJR",27,14,1,518,55
1040199,"YOSE-7420_EMEC_7183",7183,"AJR",19,14,1,518,55
1040200,"YOSE-7420_EMEC_7184",7184,"AJR",28,14,1,518,55
1040201,"YOSE-7420_EMEC_7185",7185,"AJR",29,14,1,518,55
1040202,"YOSE-7420_EMEC_7186",7186,"AJR",30,14,1,518,55
1040203,"YOSE-7420_EMEC_7187",7187,"AJR",31,14,1,518,55
1040204,"YOSE-7420_EMEC_7188",7188,"AJR",32,14,1,518,55
1040205,"YOSE-7420_EMEC_7189",7189,"AJR",20,14,1,518,55
1040206,"YOSE-7420_EMEC_7190",7190,"AJR",31,14,1,518,55
1040207,"YOSE-7420_EMEC_7191",7191,"AJR",20,14,1,518,55
1040208,"YOSE-7420_EMEC_7192",7192,"AJR",20,14,1,518,55
1040209,"YOSE-7420_EMEC_7193",7193,"AJR",15,14,1,518,55
1040210,"YOSE-7420_EMEC_7194",7194,"AJR",8,14,1,518,55
1040211,"YOSE-7420_EMEC_7195",7195,"AJR",8,14,1,518,55
1040212,"YOSE-7420_EMEC_7196",7196,"AJR",35,14,1,518,55
1040213,"YOSE-7420_EMEC_7197",7197,"AJR",8,14,1,518,55
1040214,"YOSE-7420_EMEC_7198",7198,"AJR",8,14,1,518,55
1040215,"YOSE-7420_EMEC_7199",7199,"AJR",24,14,1,518,55
1040216,"YOSE-7420_EMEC_7200",7200,"AJR",8,14,1,518,55
1040217,"YOSE-7420_EMEC_7201",7201,"AJR",8,14,1,518,55
1040218,"YOSE-7420_EMEC_7202",7202,"AJR",8,14,1,518,55
1040219,"YOSE-7420_EMEC_7203",7203,"AJR",8,14,1,518,55
1040220,"YOSE-7420_EMEC_7204",7204,"AJR",8,14,1,518,55
1040227,"YOSE-7420_EMEC_7211",7211,"AJR",36,64,1,326,7
1040243,"YOSE-7420_EMEC_7227",7227,"LKM",37,50,1,310,3
1040244,"YOSE-7420_EMEC_7228",7228,"LKM",28,50,1,310,3
1040245,"YOSE-7420_EMEC_7229",7229,"LKM",28,50,1,310,3
1040246,"YOSE-7420_EMEC_7230",7230,"LKM",7,50,1,310,3
1040256,"YOSE-7420_EMEC_7240",7240,"LKM",20,57,1,310,3
1040257,"YOSE-7420_EMEC_7241",7241,"LKM",38,57,1,310,3
1040258,"YOSE-7420_EMEC_7242",7242,"LKM",38,57,1,310,3
1040259,"YOSE-7420_EMEC_7243",7243,"LKM",7,57,1,310,3
1040260,"YOSE-7420_EMEC_7244",7244,"LKM",7,57,1,310,3
1040261,"YOSE-7420_EMEC_7245",7245,"LKM",7,57,1,310,3
1040262,"YOSE-7420_EMEC_7246",7246,"LKM",7,57,1,310,3
1040263,"YOSE-7420_EMEC_7247",7247,"LKM",7,57,1,310,3
1040264,"YOSE-7420_EMEC_7248",7248,"LKM",13,57,1,310,3
1040265,"YOSE-7420_EMEC_7249",7249,"LKM",39,57,1,310,3
1040266,"YOSE-7420_EMEC_7250",7250,"LKM",39,57,1,310,3
1040267,"YOSE-7420_EMEC_7251",7251,"LKM",39,57,1,310,3
1040277,"YOSE-7420_EMEC_7261",7261,"LKM",20,14,1,310,3
1040310,"YOSE-7420_EMEC_7294",7294,"LKM",20,63,1,310,3
1040311,"YOSE-7420_EMEC_7295",7295,"LKM",7,63,1,310,3
1040316,"YOSE-7420_EMEC_7300",7300,"LTC",17,38,1,534,59
1040317,"YOSE-7420_EMEC_7301",7301,"LTC",40,38,1,534,59
1040318,"YOSE-7420_EMEC_7302",7302,"LTC",41,38,1,534,59
1040319,"YOSE-7420_EMEC_7303",7303,"LTC",42,38,1,534,59
1040320,"YOSE-7420_EMEC_7304",7304,"LTC",9,38,1,534,59
1040321,"YOSE-7420_EMEC_7305",7305,"LTC",43,38,1,534,59
1040322,"YOSE-7420_EMEC_7306",7306,"LTC",7,38,1,534,59
1040333,"YOSE-7420_EMEC_7317",7317,"JPS",40,38,1,534,59
1040334,"YOSE-7420_EMEC_7318",7318,"JPS",30,38,1,534,59
1040348,"YOSE-7420_EMEC_7332",7332,"LCP",9,14,1,358,10
1040349,"YOSE-7420_EMEC_7333",7333,"LCP",25,14,1,358,10
1040350,"YOSE-7420_EMEC_7334",7334,"LCP",18,14,1,358,10
1040351,"YOSE-7420_EMEC_7335",7335,"LCP",21,14,1,358,10
1040352,"YOSE-7420_EMEC_7336",7336,"LCP",17,63,1,358,10
1040365,"YOSE-7420_EMEC_7349",7349,"LTC",20,14,1,562,73
1040366,"YOSE-7420_EMEC_7350",7350,"LTC",8,14,1,562,73
1040368,"YOSE-7420_EMEC_7352",7352,"LKM",7,2,1,310,3
1040369,"YOSE-7420_EMEC_7353",7353,"LKM",7,2,1,310,3
1040370,"YOSE-7420_EMEC_7354",7354,"LKM",7,2,1,310,3
1040371,"YOSE-7420_EMEC_7355",7355,"LTC",7,58,1,534,59
1040372,"YOSE-7420_EMEC_7356",7356,"LTC",7,58,1,534,59
1040373,"YOSE-7420_EMEC_7357",7357,"LTC",7,58,1,534,59
1040374,"YOSE-7420_EMEC_7358",7358,"AJR",17,43,1,374,21
1040391,"YOSE-7420_EMEC_7375",7375,"JPS",23,54,1,406,27
1040392,"YOSE-7420_EMEC_7376",7376,"JPS",23,54,1,406,27
1040396,"YOSE-7420_EMEC_7380",7380,"LTC",8,55,1,438,29
1040397,"YOSE-7420_EMEC_7381",7381,"LTC",24,55,1,438,29
1040398,"YOSE-7420_EMEC_7382",7382,"LTC",45,55,1,438,29
1040407,"YOSE-7420_EMEC_7391",7391,"LTC",8,33,1,438,29
1040408,"YOSE-7420_EMEC_7392",7392,"LTC",7,33,1,438,29
1040409,"YOSE-7420_EMEC_7393",7393,"LTC",7,33,1,438,29
1040410,"YOSE-7420_EMEC_7394",7394,"LTC",8,33,1,438,29
1040411,"YOSE-7420_EMEC_7395",7395,"LCP",23,14,1,390,26
1040412,"YOSE-7420_EMEC_7396",7396,"LCP",17,14,1,390,26
1040414,"YOSE-7420_EMEC_7398",7398,"LCP",12,54,1,390,26
1040416,"YOSE-7420_EMEC_7400",7400,"LTC",23,53,1,422,28
1040417,"YOSE-7420_EMEC_7401",7401,"LTC",17,53,1,422,28
1040418,"YOSE-7420_EMEC_7402",7402,"LTC",17,53,1,422,28
1040419,"YOSE-7420_EMEC_7403",7403,"LTC",17,53,1,422,28
1040420,"YOSE-7420_EMEC_7404",7404,"LTC",17,53,1,422,28
1040430,"YOSE-7420_EMEC_7414",7414,"LTC",1,63,1,422,28
1040431,"YOSE-7420_EMEC_7415",7415,"LTC",1,63,1,422,28
1040432,"YOSE-7420_EMEC_7416",7416,"LTC",47,63,1,422,28
1040433,"YOSE-7420_EMEC_7417",7417,"LTC",28,63,1,422,28
1040434,"YOSE-7420_EMEC_7418",7418,"LTC",16,63,1,422,28
1040437,"YOSE-7420_EMEC_7421",7421,"LCP",7,5,1,390,26
1040438,"YOSE-7420_EMEC_7422",7422,"LCP",1,63,1,390,26
1040439,"YOSE-7420_EMEC_7423",7423,"LCP",36,63,1,390,26
1040451,"YOSE-7420_EMEC_7435",7435,"LCP",17,54,1,454,30
1040452,"YOSE-7420_EMEC_7436",7436,"LCP",23,12,1,454,30
1040453,"YOSE-7420_EMEC_7437",7437,"LCP",23,62,1,454,30
1040454,"YOSE-7420_EMEC_7438",7438,"LCP",9,62,1,454,30
1040455,"YOSE-7420_EMEC_7439",7439,"LCP",32,19,1,454,30
1041298,"YOSE-7420_EMEC_8682",8682,"LTC",48,33,1,438,29
1041475,"YOSE-7420_EMEC_8859",8859,"LKM",49,58,1,310,3
1041476,"YOSE-7420_EMEC_8860",8860,"AJR",48,14,1,518,55
1041477,"YOSE-7420_EMEC_8861",8861,"AJR",50,14,1,518,55
1041480,"YOSE-7420_EMEC_8864",8864,"LCP",51,14,1,358,10
1041481,"YOSE-7420_EMEC_8865",8865,"LTC",52,58,1,534,59
1041631,"YOSE-7420_EMEC_9015",9015,"LKM",53,72,1,290,1
1041632,"YOSE-7420_EMEC_9016",9016,"LKM",53,72,1,290,1
1041633,"YOSE-7420_EMEC_9017",9017,"LKM",53,72,1,290,1
1041634,"YOSE-7420_EMEC_9018",9018,"LKM",53,72,1,290,1
1041635,"YOSE-7420_EMEC_9019",9019,"LKM",52,14,1,290,1
1041636,"YOSE-7420_EMEC_9020",9020,"LKM",52,14,1,290,1
1041637,"YOSE-7420_EMEC_9021",9021,"LKM",54,14,1,290,1
1041639,"YOSE-7420_EMEC_9023",9023,"LKM",8,63,1,310,3
1041640,"YOSE-7420_EMEC_9024",9024,"LKM",55,63,1,310,3
1041642,"YOSE-7420_EMEC_9026",9026,"LKM",52,50,1,290,1
1040000,"YOSE-7420_EMEC_6984",6984,"LKM",37,72,1,290,1
1040001,"YOSE-7420_EMEC_6985",6985,"LKM",37,72,1,290,1
NA,"YOSE-7420_EMEC_1",1,"LKM",57,31,1,17,3
NA,"YOSE-7420_EMEC_2",2,"LKM",7,2,1,17,3
NA,"YOSE-7420_EMEC_3",3,"LKM",7,2,1,17,3
NA,"YOSE-7420_EMEC_4",4,"LKM",7,2,1,17,3
NA,"YOSE-7420_EMEC_5",5,"LKM",7,2,1,17,3
NA,"YOSE-7420_EMEC_6",6,"LKM",57,2,1,17,3
NA,"YOSE-7420_EMEC_7",7,"LKM",59,2,1,17,3
NA,"YOSE-7420_EMEC_8",8,"LKM",8,2,1,17,3
NA,"YOSE-7420_EMEC_9",9,"LKM",7,2,1,17,3
NA,"YOSE-7420_EMEC_10",10,"LKM",23,56,1,17,3
NA,"YOSE-7420_EMEC_11",11,"LKM",23,56,1,17,3
NA,"YOSE-7420_EMEC_12",12,"LKM",60,56,1,17,3
NA,"YOSE-7420_EMEC_13",13,"LKM",61,56,1,17,3
NA,"YOSE-7420_EMEC_14",14,"LKM",39,56,1,17,3
NA,"YOSE-7420_EMEC_15",15,"LKM",15,54,1,17,3
NA,"YOSE-7420_EMEC_16",16,"LKM",15,54,1,17,3
NA,"YOSE-7420_EMEC_17",17,"LKM",8,57,1,17,3
NA,"YOSE-7420_EMEC_18",18,"LKM",8,57,1,17,3
NA,"YOSE-7420_EMEC_19",19,"LKM",62,57,1,17,3
NA,"YOSE-7420_EMEC_20",20,"LKM",8,57,1,17,3
NA,"YOSE-7420_EMEC_51",51,"CRP",7,25,1,225,55
NA,"YOSE-7420_EMEC_52",52,"CRP",8,25,1,225,55
NA,"YOSE-7420_EMEC_53",53,"CRP",9,24,1,225,55
NA,"YOSE-7420_EMEC_54",54,"CRP",63,24,1,225,55
NA,"YOSE-7420_EMEC_82",82,"CRP",19,14,1,225,55
NA,"YOSE-7420_EMEC_83",83,"CRP",19,14,1,225,55
NA,"YOSE-7420_EMEC_84",84,"CRP",19,14,1,225,55
NA,"YOSE-7420_EMEC_85",85,"CRP",19,14,1,225,55
NA,"YOSE-7420_EMEC_86",86,"CRP",19,14,1,225,55
NA,"YOSE-7420_EMEC_87",87,"CRP",17,14,1,225,55
NA,"YOSE-7420_EMEC_88",88,"CRP",23,14,1,225,55
NA,"YOSE-7420_EMEC_89",89,"CRP",64,14,1,225,55
NA,"YOSE-7420_EMEC_90",90,"CRP",8,14,1,225,55
NA,"YOSE-7420_EMEC_91",91,"CRP",8,14,1,225,55
NA,"YOSE-7420_EMEC_92",92,"CRP",8,14,1,225,55
NA,"YOSE-7420_EMEC_93",93,"CRP",8,14,1,225,55
NA,"YOSE-7420_EMEC_94",94,"CRP",8,14,1,225,55
NA,"YOSE-7420_EMEC_95",95,"CRP",31,14,1,225,55
NA,"YOSE-7420_EMEC_121",121,"LCP",57,31,1,49,8
NA,"YOSE-7420_EMEC_161",161,"LCP",65,2,1,49,8
NA,"YOSE-7420_EMEC_162",162,"LCP",15,2,1,49,8
NA,"YOSE-7420_EMEC_163",163,"LCP",7,2,1,49,8
NA,"YOSE-7420_EMEC_164",164,"LCP",7,2,1,49,8
NA,"YOSE-7420_EMEC_165",165,"LCP",66,54,1,49,8
NA,"YOSE-7420_EMEC_166",166,"LCP",61,54,1,49,8
NA,"YOSE-7420_EMEC_167",167,"LCP",68,54,1,49,8
NA,"YOSE-7420_EMEC_168",168,"LCP",69,54,1,49,8
NA,"YOSE-7420_EMEC_169",169,"LCP",31,54,1,49,8
NA,"YOSE-7420_EMEC_170",170,"LCP",70,54,1,49,8
NA,"YOSE-7420_EMEC_171",171,"LCP",40,54,1,49,8
NA,"YOSE-7420_EMEC_172",172,"LCP",71,54,1,49,8
NA,"YOSE-7420_EMEC_173",173,"LCP",57,54,1,49,8
NA,"YOSE-7420_EMEC_174",174,"LCP",63,38,1,49,8
NA,"YOSE-7420_EMEC_175",175,"LCP",73,38,1,49,8
NA,"YOSE-7420_EMEC_176",176,"LCP",42,38,1,49,8
NA,"YOSE-7420_EMEC_177",177,"LCP",31,38,1,49,8
NA,"YOSE-7420_EMEC_178",178,"LCP",31,38,1,49,8
NA,"YOSE-7420_EMEC_179",179,"LCP",31,38,1,49,8
NA,"YOSE-7420_EMEC_180",180,"LCP",31,38,1,49,8
NA,"YOSE-7420_EMEC_181",181,"LCP",62,38,1,49,8
NA,"YOSE-7420_EMEC_182",182,"LCP",62,38,1,49,8
NA,"YOSE-7420_EMEC_183",183,"LCP",62,38,1,49,8
NA,"YOSE-7420_EMEC_184",184,"LCP",62,38,1,49,8
NA,"YOSE-7420_EMEC_185",185,"LCP",62,38,1,49,8
NA,"YOSE-7420_EMEC_186",186,"LCP",31,38,1,49,8
NA,"YOSE-7420_EMEC_187",187,"LCP",62,38,1,49,8
NA,"YOSE-7420_EMEC_188",188,"LCP",8,38,1,49,8
NA,"YOSE-7420_EMEC_189",189,"LCP",8,38,1,49,8
NA,"YOSE-7420_EMEC_190",190,"LCP",63,66,1,49,8
NA,"YOSE-7420_EMEC_230",230,"LCP",19,14,1,1,1
NA,"YOSE-7420_EMEC_231",231,"LCP",19,14,1,1,1
NA,"YOSE-7420_EMEC_232",232,"LCP",19,14,1,1,1
NA,"YOSE-7420_EMEC_233",233,"LCP",19,14,1,1,1
NA,"YOSE-7420_EMEC_234",234,"LCP",23,14,1,1,1
NA,"YOSE-7420_EMEC_235",235,"LCP",39,14,1,1,1
NA,"YOSE-7420_EMEC_236",236,"LCP",20,14,1,1,1
NA,"YOSE-7420_EMEC_255",255,"LCP",76,25,1,1,1
NA,"YOSE-7420_EMEC_256",256,"LCP",1,25,1,1,1
NA,"YOSE-7420_EMEC_257",257,"LCP",77,2,1,1,1
NA,"YOSE-7420_EMEC_258",258,"LCP",78,2,1,1,1
NA,"YOSE-7420_EMEC_259",259,"LCP",78,2,1,1,1
NA,"YOSE-7420_EMEC_260",260,"LCP",7,2,1,1,1
NA,"YOSE-7420_EMEC_261",261,"LCP",7,2,1,1,1
NA,"YOSE-7420_EMEC_262",262,"LCP",7,2,1,1,1
NA,"YOSE-7420_EMEC_263",263,"LCP",20,2,1,1,1
NA,"YOSE-7420_EMEC_264",264,"LCP",20,2,1,1,1
NA,"YOSE-7420_EMEC_265",265,"LCP",8,2,1,1,1
NA,"YOSE-7420_EMEC_266",266,"LCP",8,2,1,1,1
NA,"YOSE-7420_EMEC_267",267,"LCP",27,54,1,1,1
NA,"YOSE-7420_EMEC_268",268,"LCP",15,54,1,1,1
NA,"YOSE-7420_EMEC_269",269,"LCP",37,46,1,1,1
NA,"YOSE-7420_EMEC_270",270,"LCP",79,46,1,1,1
NA,"YOSE-7420_EMEC_271",271,"LCP",80,46,1,1,1
NA,"YOSE-7420_EMEC_272",272,"LCP",81,46,1,1,1
NA,"YOSE-7420_EMEC_273",273,"LCP",82,11,1,1,1
NA,"YOSE-7420_EMEC_274",274,"LCP",7,11,1,1,1
NA,"YOSE-7420_EMEC_275",275,"LCP",7,11,1,1,1
NA,"YOSE-7420_EMEC_276",276,"LCP",7,11,1,1,1
NA,"YOSE-7420_EMEC_277",277,"LCP",7,11,1,1,1
NA,"YOSE-7420_EMEC_278",278,"LCP",7,11,1,1,1
NA,"YOSE-7420_EMEC_279",279,"LCP",7,11,1,1,1
NA,"YOSE-7420_EMEC_280",280,"LCP",7,11,1,1,1
NA,"YOSE-7420_EMEC_286",286,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_287",287,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_288",288,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_289",289,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_290",290,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_291",291,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_292",292,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_293",293,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_294",294,"LCP",1,72,1,1,1
NA,"YOSE-7420_EMEC_295",295,"LCP",37,72,1,1,1
NA,"YOSE-7420_EMEC_296",296,"LCP",37,72,1,1,1
NA,"YOSE-7420_EMEC_297",297,"LCP",37,72,1,1,1
NA,"YOSE-7420_EMEC_298",298,"LCP",37,72,1,1,1
NA,"YOSE-7420_EMEC_299",299,"LCP",37,72,1,1,1
NA,"YOSE-7420_EMEC_300",300,"LCP",23,72,1,1,1
NA,"YOSE-7420_EMEC_301",301,"LCP",17,72,1,1,1
NA,"YOSE-7420_EMEC_302",302,"LCP",17,72,1,1,1
NA,"YOSE-7420_EMEC_303",303,"LCP",20,72,1,1,1
NA,"YOSE-7420_EMEC_304",304,"LCP",83,72,1,1,1
NA,"YOSE-7420_EMEC_305",305,"LCP",7,72,1,1,1
NA,"YOSE-7420_EMEC_306",306,"LCP",84,20,1,1,1
NA,"YOSE-7420_EMEC_307",307,"LCP",8,44,1,1,1
NA,"YOSE-7420_EMEC_348",348,"CC",23,54,1,193,47
NA,"YOSE-7420_EMEC_353",353,"CC",85,25,1,193,47
NA,"YOSE-7420_EMEC_358",358,"CRP",4,43,1,241,59
NA,"YOSE-7420_EMEC_359",359,"CRP",8,43,1,241,59
NA,"YOSE-7420_EMEC_360",360,"CRP",31,43,1,241,59
NA,"YOSE-7420_EMEC_363",363,"CRP",86,57,1,241,59
NA,"YOSE-7420_EMEC_364",364,"CRP",86,57,1,241,59
NA,"YOSE-7420_EMEC_365",365,"CRP",86,57,1,241,59
NA,"YOSE-7420_EMEC_366",366,"CRP",17,57,1,241,59
NA,"YOSE-7420_EMEC_367",367,"CRP",68,57,1,241,59
NA,"YOSE-7420_EMEC_368",368,"CRP",40,57,1,241,59
NA,"YOSE-7420_EMEC_369",369,"CRP",86,38,1,241,59
NA,"YOSE-7420_EMEC_370",370,"CRP",86,38,1,241,59
NA,"YOSE-7420_EMEC_371",371,"CRP",87,38,1,241,59
NA,"YOSE-7420_EMEC_372",372,"CRP",17,38,1,241,59
NA,"YOSE-7420_EMEC_373",373,"CRP",17,38,1,241,59
NA,"YOSE-7420_EMEC_396",396,"CK",62,5,1,65,10
NA,"YOSE-7420_EMEC_397",397,"CK",62,5,1,65,10
NA,"YOSE-7420_EMEC_398",398,"CK",18,14,1,65,10
NA,"YOSE-7420_EMEC_399",399,"CK",20,14,1,65,10
NA,"YOSE-7420_EMEC_400",400,"CK",8,14,1,65,10
NA,"YOSE-7420_EMEC_446",446,"CRP",64,31,1,33,7
NA,"YOSE-7420_EMEC_447",447,"CRP",66,43,1,33,7
NA,"YOSE-7420_EMEC_448",448,"CRP",87,50,1,33,7
NA,"YOSE-7420_EMEC_449",449,"CRP",1,15,1,33,7
NA,"YOSE-7420_EMEC_450",450,"CRP",89,15,1,33,7
NA,"YOSE-7420_EMEC_479",479,"CRP",90,54,1,273,73
NA,"YOSE-7420_EMEC_480",480,"CRP",13,54,1,273,73
NA,"YOSE-7420_EMEC_481",481,"CRP",20,54,1,273,73
NA,"YOSE-7420_EMEC_482",482,"CRP",91,54,1,273,73
NA,"YOSE-7420_EMEC_483",483,"CRP",15,54,1,273,73
NA,"YOSE-7420_EMEC_484",484,"CRP",15,54,1,273,73
NA,"YOSE-7420_EMEC_485",485,"CRP",66,54,1,273,73
NA,"YOSE-7420_EMEC_495",495,"CRP",7,57,1,241,59
NA,"YOSE-7420_EMEC_522",522,"CK",7,11,1,65,10
NA,"YOSE-7420_EMEC_541",541,"CK",86,25,1,65,10
NA,"YOSE-7420_EMEC_542",542,"CK",23,25,1,65,10
NA,"YOSE-7420_EMEC_543",543,"CK",31,25,1,65,10
NA,"YOSE-7420_EMEC_544",544,"CK",62,25,1,65,10
NA,"YOSE-7420_EMEC_545",545,"CK",70,25,1,65,10
NA,"YOSE-7420_EMEC_546",546,"CK",62,25,1,65,10
NA,"YOSE-7420_EMEC_547",547,"CK",62,25,1,65,10
NA,"YOSE-7420_EMEC_548",548,"CK",8,25,1,65,10
NA,"YOSE-7420_EMEC_549",549,"CK",8,25,1,65,10
NA,"YOSE-7420_EMEC_550",550,"CK",23,50,1,65,10
NA,"YOSE-7420_EMEC_551",551,"CK",23,50,1,65,10
NA,"YOSE-7420_EMEC_552",552,"CK",23,50,1,65,10
NA,"YOSE-7420_EMEC_553",553,"CK",23,50,1,65,10
NA,"YOSE-7420_EMEC_554",554,"CK",86,50,1,65,10
NA,"YOSE-7420_EMEC_555",555,"CK",86,50,1,65,10
NA,"YOSE-7420_EMEC_556",556,"CK",92,50,1,65,10
NA,"YOSE-7420_EMEC_557",557,"CK",93,50,1,65,10
NA,"YOSE-7420_EMEC_558",558,"CK",94,50,1,65,10
NA,"YOSE-7420_EMEC_559",559,"LCP",23,43,1,81,21
NA,"YOSE-7420_EMEC_560",560,"LCP",23,43,1,81,21
NA,"YOSE-7420_EMEC_561",561,"LCP",23,43,1,81,21
NA,"YOSE-7420_EMEC_562",562,"LCP",23,43,1,81,21
NA,"YOSE-7420_EMEC_563",563,"LCP",23,43,1,81,21
NA,"YOSE-7420_EMEC_564",564,"LCP",23,43,1,81,21
