"InsectPK","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","GeneralID","Sex"
59,"Coleoptera",NA,"Judolia","","instabilis","","L. Ponisio","Haldeman","Beetle",""
60,"Hymenoptera","Apidae","Bombus","Bombus","vandykei","","R.W. Thorp","Frison","Bee","f"
61,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","albifrons","maura","T. Griswold","Cresson","Bee","f"
62,"Hymenoptera","Colletidae","Hylaeus","","spp.","small","L. Ponisio","","Bee","m"
63,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","bucconis","","T. Griswold","Say","Bee","m"
64,"Diptera","Bombyliidae","Anthrax","","sp","b","M. Hauser","","Fly",""
65,"Diptera","Syrphinae","Chrysotoxum","","sp.","a","M. Hauser","","Fly",""
66,"Diptera","Syrphinae","Eupeodes","Metasyrphus","fumipennis","","M. Hauser","Thomson","Fly","f"
67,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","albifrons","maura","T. Griswold","Cresson","Bee","m"
68,"Hymenoptera","Andrenidae","Andrena","Trachandrena","quintiliformis","","R.W. Thorp","Viereck","Bee","f"
69,"Hymenoptera","Megachilidae","Coelioxys","Coelioxys","sodalis","","T. Griswold","Cresson","Bee","m"
70,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","prasinogaster","aff.","Jason Gibbs","","Bee","f"
71,"Diptera","Bombyliidae","Anthrax","","spp","","M. Hauser","","Fly",""
72,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","bucconis","","T. Griswold","Say","Bee","f"
73,"Hymenoptera","Megachilidae","Coelioxys","Synocoelioxys","apacheorum","","T. Griswold","Cockerell","Bee","m"
74,"Hymenoptera","Andrenidae","Calliopsis","Nomadopsis","edwardsii","","R.W. Thorp","Cresson","Bee","f"
75,"Hymenoptera","Colletidae","Hylaeus","","spp.","small","L. Ponisio","","Bee","f"
76,"Hymenoptera","Crabronidae","Steniolia","","scolopacea","","L. Ponisio","Handlirsch","Wasp",""
77,"Hymenoptera","Chrysididae","Chrysis","","rivalis","","L. Kimsey","Bohart","Wasp","f"
78,"Hymenoptera","Megachilidae","Stelis","Stelis","calliphorina","","T. Griswold","Cockerell","Bee","f"
79,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","cubiceps","cubiceps","T. Griswold","Cresson","Bee","f"
80,"Hymenoptera","Apidae","Anthophora","Heliophila","exigua","","M.C. Orr","Cresson","Bee","m"
81,"Diptera","Syrphinae","Eupeodes","","volucris","","M. Hauser","Osten Sakcen","Fly",""
82,"Diptera","Syrphinae","Blera","","scitula","","M. Hauser","Williston","Fly","m"
83,"Hymenoptera","Megachilidae","Dianthidium","Dianthidium","singulare","","T. Griswold","Cresson","Bee","f"
84,"Hymenoptera","Apidae","Anthophora","Clisodon","terminalis","","R.W. Thorp","Cresson","Bee","m"
85,"Coleoptera",NA,"Chrysobothris","","cyanella","","L. Ponisio","Horn","Beetle",""
86,"Hymenoptera","Apidae","Bombus","Bombus","bifarius","","R.W. Thorp","Cresson","Bee","f"
87,"Hymenoptera","Megachilidae","Osmia","Melanosmia","grindeliae","","T. Griswold","Cockerell","Bee","f"
88,"Diptera","Syrphinae","Eupeodes","Metasyrphus","fumipennis","","M. Hauser","Thomson","Fly","m"
89,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","perihirta","","T. Griswold","Cockerell","Bee","f"
90,"Hymenoptera","Megachilidae","Osmia","Melanosmia","exigua","","T. Griswold","Cresson","Bee","f"
91,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","cactorum","","T. Griswold","Cockerell","Bee","m"
92,"Hymenoptera","Apidae","Bombus","Bombus","melanopygus","","R.W. Thorp","Nylander","Bee","m"
93,"Hymenoptera","Megachilidae","Osmia","Melanosmia","ednae","","T. Griswold","Cockerell","Bee","f"
94,"Hymenoptera","Megachilidae","Osmia","Melanosmia","laeta","","T. Griswold","Sandhouse","Bee","f"
95,"Hymenoptera","Megachilidae","Megachile","Megachile","texana","","T. Griswold","Cresson","Bee","m"
96,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Jason Gibbs","","Bee","m"
97,"Hymenoptera","Apidae","Bombus","Bombus","bifarius","","R.W. Thorp","Cresson","Bee","m"
98,"Hymenoptera","Megachilidae","Osmia","Melanosmia","calla","","T. Griswold","Cockerell","Bee","f"
99,"Hymenoptera","Apidae","Bombus","Bombus","vosnesenskii","","R.W. Thorp","Radoszkowski","Bee","m"
100,"Diptera","Syrphinae","Lapposyrphus","","lapponicus","","M. Hauser","Zetterstedt","Fly","m"
101,"Hymenoptera","Megachilidae","Osmia","Melanosmia","bakeri","","T. Griswold","Sandhouse","Bee","f"
102,"Hymenoptera","Apidae","Xylocopa","Xylocopoides","californica","","J.S. Ascher","Cresson","Bee","f"
103,"Hymenoptera","Chrysididae","Pseudomalus","","sp.","a","L. Kimsey","","Wasp","f"
104,"Hymenoptera","Megachilidae","Megachile","Megachile","relativa","","T. Griswold","Cresson","Bee","f"
105,"Hymenoptera","Halictidae","Lasioglossum","Lasioglossum","sisymbrii","","J.S. Ascher","Cockerell","Bee","f"
106,"Hymenoptera","Halictidae","Dufourea","","spilura","","T. Griswold","Cockerell","Bee","m"
107,"Diptera","Bombyliidae","Paravilla","","spp","","M. Hauser","","Fly",""
108,"Hymenoptera","Apidae","Anthophora","Clisodon","terminalis","","R.W. Thorp","Cresson","Bee","f"
109,"Hymenoptera","Apidae","Bombus","Bombus","mixtus","","R.W. Thorp","Cresson","Bee","f"
110,"Diptera","Bombyliidae","Thevenetimyia","","sp.","a","M. Hauser","","Fly",""
111,"Hymenoptera","Apidae","Bombus","Bombus","mixtus","","R.W. Thorp","Cresson","Bee","m"
112,"Lepidoptera","","Phyciodes","","mylitta","","L.Ponisio","Edwards","Lep",""
113,"Lepidoptera","","Satyrium","","saepium","","L.Ponisio","Boisduval","Lep","f"
114,"Lepidoptera","","Plebejus","","saepiolus","","L.Ponisio","Boisduval","Lep","f"
115,"Lepidoptera","","Plebejus","","idas","","L.Ponisio","Linnaeus","Lep","f"
116,"Lepidoptera","","Chlosyne","","hoffmannii","","L.Ponisio","Behr","Lep",""
117,"Lepidoptera","","Plebejus","","idas","","L.Ponisio","Linnaeus","Lep","m"
118,"Lepidoptera","","Hesperia","","juba","","L.Ponisio","Scudder","Lep","f"
119,"Lepidoptera","","Speyeria","","spp.","","L.Ponisio","","Lep",""
120,"Lepidoptera","","Colias","","eurytheme","","L.Ponisio","Boisduval","Lep","f"
121,"Hymenoptera","Megachilidae","Osmia","Melanosmia","giffardi","","T. Griswold","Sandhouse","Bee","f"
122,"Hymenoptera","Megachilidae","Osmia","Melanosmia","californica","","T. Griswold","Cresson","Bee","f"
123,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","melanophaea","","T. Griswold","Smith","Bee","m"
124,"Hymenoptera","Apidae","Anthophora","Mystacanthophora","urbana","","R.W. Thorp","Cresson","Bee","f"
125,"Hymenoptera","Megachilidae","Megachile","Sayapis","fidelis","","T. Griswold","Cresson","Bee","m"
126,"Hymenoptera","Megachilidae","Osmia","Helicosmia","coloradensis","","T. Griswold","Cresson","Bee","f"
127,"Hymenoptera","Megachilidae","Osmia","Melanosmia","ednae","","T. Griswold","Cockerell","Bee","m"
128,"Diptera","Bombyliidae","Paravilla","","sp","a","M. Hauser","","Fly",""
129,"Hymenoptera","Chrysididae","Chrysura","","kyrse","","L. Kimsey","Kromnein","Wasp","f"
130,"Hymenoptera","Apidae","Bombus","Bombus","melanopygus","","R.W. Thorp","Nylander","Bee","f"
131,"Hymenoptera","Megachilidae","Megachile","Chelostomoides","angelarum","","T. Griswold","Cockerell","Bee","f"
132,"Hymenoptera","Apidae","Xylocopa","Notoxylocopa","tabaniformis","orpifex","J.S. Ascher","Smith","Bee","m"
133,"Hymenoptera","Megachilidae","Megachile","Megachile","relativa","","T. Griswold","Cresson","Bee","m"
134,"Hymenoptera","Andrenidae","Andrena","Onagrandrena","vanduzeei","","R.W. Thorp","Linsley","Bee","f"
135,"Hymenoptera","Apidae","Anthophora","Heliophila","flexipes","","M.C. Orr","Cresson","Bee","m"
136,"Lepidoptera","","Euphilotes","","enoptes","","L.Ponisio","Boisduval","Lep","m"
137,"Hymenoptera","Apidae","Bombus","Pyrobombus","flavifrons","","R.W. Thorp","Cresson","Bee","f"
138,"Hymenoptera","Colletidae","Hylaeus","Cephalylaeus","basalis","","L. Ponisio","Smith","Bee","f"
139,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","melanophaea","","T. Griswold","Smith","Bee","f"
140,"Hymenoptera","Megachilidae","Megachile","Litomegachile","texana","","T. Griswold","Cresson","Bee","f"
141,"Hymenoptera","Halictidae","Dufourea","","spilura","","T. Griswold","Cockerell","Bee","f"
142,"Hymenoptera","Apidae","Bombus","Psithyrus","insularis","","R.W. Thorp","Smith","Bee","m"
143,"Hymenoptera","Vespidae","Vespula","","pensylvanica","","L.Ponisio","Saussure","Wasp","f"
144,"Hymenoptera","Megachilidae","Anthidium","Anthidium","mormonum","","T. Griswold","Cresson","Bee","m"
145,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","cactorum","","T. Griswold","Cockerell","Bee","f"
146,"Hymenoptera","Megachilidae","Megachile","Chelostomoides","angelarum","","T. Griswold","Cockerell","Bee","m"
147,"Hymenoptera","Megachilidae","Stelis","Stelis","carnifex","","T. Griswold","Cockerell","Bee","m"
148,"Hymenoptera","Andrenidae","Perdita","","sp.","a.","R.W. Thorp","","Bee","f"
149,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","frigida","","T. Griswold","Smith","Bee","m"
150,"Diptera","Bombyliidae","Anthrax","","sp","d","M. Hauser","","Fly",""
151,"Hymenoptera","Megachilidae","Megachile","Megachiloides","wheeleri","","T. Griswold","Mitchell","Bee","f"
152,"Hymenoptera","Colletidae","Colletes","simulans","slevini","","T. Griswold","Cockerell","Bee","f"
153,"Diptera","Syrphinae","Paragus","","haemorrhous","","M. Hauser","Meigen","Fly","f"
154,"Hymenoptera","Megachilidae","Dianthidium","Dianthidium","ulkei","","T. Griswold","Cresson","Bee","m"
155,"Hymenoptera","Andrenidae","Andrena","Andrena","scutellinitens","","R.W. Thorp","Viereck","Bee","f"
156,"Hymenoptera","Colletidae","Colletes","hyalinus","lutzi","monticola","T. Griswold","Timberlake","Bee","m"
157,"Hymenoptera","Apidae","Bombus","Psithyrus","fernaldae","","R.W. Thorp","Franklin","Bee","m"
158,"Hymenoptera","Apidae","Anthophora","Mystacanthophora","urbana","","R.W. Thorp","Cresson","Bee","m"
159,"Hymenoptera","Megachilidae","Osmia","Melanosmia","aglaia","","T. Griswold","Sandhouse","Bee","f"
160,"Diptera","Syrphinae","Platycheirus","","sp.","a","M. Hauser","","Fly",""
161,"Hymenoptera","Megachilidae","Heriades","Neotrypetes","cressoni","","R.W. Thorp","Michener","Bee","m"
162,"Lepidoptera","","Phyciodes","","orseis","montana","L.Ponisio","Edwards","Lep",""
163,"Diptera","Asilidae","Laphria","","astur","","M. Hauser","Osten Sacken","Fly",""
164,"Diptera","Syrphinae","Taxomerus","","marginatus","","M. Hauser","Say","Fly","m"
165,"Hymenoptera","Apidae","Bombus","Bombus","vandykei","","R.W. Thorp","Frison","Bee","queen"
166,"Hymenoptera","Megachilidae","Osmia","Melanosmia","kincaidii","","T. Griswold","Cockerell","Bee","f"
167,"Hymenoptera","Chrysididae","Chrysurissa","","densa","","L. Kimsey","Cresson","Wasp","f"
168,"Hymenoptera","Chrysididae","Chrysis","","coloradica","","L. Kimsey","Bohart","Wasp","f"
169,"Diptera","Syrphinae","Paragus","","variabilis","","M. Hauser","Vockeroth","Fly","f"
170,"Hymenoptera","Chrysididae","Hedychridium","","fletcheri","","L. Kimsey","Bodenstein","Wasp","f"
171,"Diptera","Conopidae","","","sp","a","M. Hauser","","Fly",""
172,"Hymenoptera","Chrysididae","Parnopes","","edwardsi","","L. Kimsey","Cresson","Wasp","f"
173,"Diptera","Bombyliidae","Exoprosopa","","sp.","a","M. Hauser","","Fly",""
174,"Coleoptera",NA,"Saxinis","","saucia","","L. Ponisio","LeConte","Beetle",""
175,"Diptera","Conopidae","Zodion","","sp","a","M. Hauser","","Fly","f"
176,"Hymenoptera","Megachilidae","Heriades","Neotrypetes","cressoni","","R.W. Thorp","Michener","Bee","f"
177,"Hymenoptera","Apidae","Bombus","Bombus","vandykei","","R.W. Thorp","Frison","Bee","m"
178,"Hymenoptera","Megachilidae","Osmia","Melanosmia","juxta","","T. Griswold","Cresson","Bee","f"
179,"Hymenoptera","Megachilidae","Ashmeadiella","Arogochila","timberlakei","","R.W. Thorp","Michener","Bee","f"
180,"Diptera","Syrphinae","Eristalis","","stipator","","M. Hauser","Osten Sacken","Fly","f"
181,"Coleoptera",NA,"Leptura","","propinqua","","L. Ponisio","Bland","Beetle",""
182,"Coleoptera",NA,"Stenostrophia","","tribalteata","sierrae","L. Ponisio","Linsley & Chemsak","Beetle",""
183,"Hymenoptera","Megachilidae","Hoplitis","Alcidamea","uvulalis","","T.Griswold","Cockerell","Bee","f"
184,"Hymenoptera","Colletidae","Colletes","simulans","fulgidus","","J.S. Ascher","Swenk","Bee","f"
185,"Diptera","Bombyliidae","Apolysis","","sp","a","M. Hauser","","Fly",""
186,"Hymenoptera","Megachilidae","Osmia","Melanosmia","phaceliae","","T. Griswold","Cockerell","Bee","f"
187,"Hymenoptera","Megachilidae","Coelioxys","Boreocoelioxys","rufitarsis","","T. Griswold","Smith","Bee","m"
188,"Hymenoptera","Megachilidae","Osmia","Melanosmia","paradisica","","T. Griswold","Sandhouse","Bee","f"
189,"Hymenoptera","Megachilidae","Dianthidium","Dianthidium","ulkei","","T. Griswold","Cresson","Bee","f"
190,"Diptera","Syrphinae","Sphaerophoria","","sulphuripes","","M. Hauser","Thomson","Fly","f"
191,"Hymenoptera","Apidae","Melissodes","Eumelissodes","microsticta","","R.W. Thorp","Cockerell","Bee","m"
192,"Hymenoptera","Halictidae","Halictus","Halictus","farinosus","","R.W. Thorp","Smith","Bee","f"
193,"Hymenoptera","Colletidae","Colletes","hyalinus","lutzi","monticola","T. Griswold","Timberlake","Bee","f"
194,"Diptera","Bombyliidae","Villa","","spp","","M. Hauser","","Fly",""
195,"Hymenoptera","Halictidae","Lasioglossum","Hemihalictus","glabriventre","","Jason Gibbs","","Bee","m"
196,"Diptera","Syrphinae","Paragus","","variabilis","","M. Hauser","Vockeroth","Fly","m"
197,"Lepidoptera","","Phyciodes","","pulchella","","L.Ponisio","Boisduval","Lep",""
198,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","californica","","T. Griswold","Ashmead","Bee","f"
199,"Hymenoptera","Chrysididae","Hedychrum","","parvum","","L. Kimsey","Aaron","Wasp","f"
200,"Hymenoptera","Chrysididae","Chrysis","","scitula","","L. Kimsey","Cresson","Wasp","f"
201,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","","","Bee","m"
202,"Hymenoptera","Apidae","Anthophora","Heliophila","flexipes","","M.C. Orr","Cresson","Bee","f"
203,"Hymenoptera","Andrenidae","Perdita","","sp.","a.","R.W. Thorp","","Bee","m"
204,"Diptera","Syrphinae","Ferdinandea","","sp.","a","M. Hauser","","Fly",""
205,"Hymenoptera","Megachilidae","Coelioxys","Cyrtocoelioxys","gilensis","aff.","T. Griswold","Cockerell","Bee","m"
206,"Diptera","Syrphinae","Eristalis","","hirta","","M. Hauser","Loew","Fly","m"
207,"Diptera","Syrphinae","Syrphus","","opinator","","M. Hauser","Vockeroth","Fly","f"
208,"Hymenoptera","Megachilidae","Megachile","Sayapis","fidelis","","T. Griswold","Cresson","Bee","f"
209,"Coleoptera",NA,"Stenostrophia","","amabilis","","L. Ponisio","LeConte","Beetle",""
210,"Hymenoptera","Megachilidae","Stelis","Stelis","carnifex","","T. Griswold","Cockerell","Bee","f"
211,"Hymenoptera","Apidae","Xeromelecta","Melectomorpha","californica","","R.W. Thorp","Cresson","Bee","f"
212,"Diptera","Syrphinae","Ocyptamus","","lemur","","M. Hauser","Osten Sacken","Fly","m"
213,"Diptera","Syrphinae","Syrphus","","sonorensis","","M. Hauser","Vockeroth","Fly","f"
214,"Diptera","Syrphinae","Taxomerus","","marginatus","","M. Hauser","Say","Fly","f"
215,"Lepidoptera","","Polygonia","","gracilis","","L.Ponisio","Grote & Robinson","Lep",""
216,"Diptera","Syrphinae","Brachyopa","","sp.","a","M. Hauser","","Fly",""
217,"Hymenoptera","Megachilidae","Hoplitis","Alcidamea","producta","","T. Griswold","Cresson","Bee","f"
218,"Hymenoptera","Megachilidae","Osmia","Melanosmia","pusilla","","T. Griswold","Cresson","Bee","f"
219,"Hymenoptera","Apidae","Nomada","","sp.","a","R.W. Thorp","","Bee","f"
220,"Hymenoptera","Andrenidae","Andrena","Thysandrena","w-scripta","","R.W. Thorp","Viereck","Bee","f"
221,"Diptera","Syrphinae","Platycheirus","","sp.","b","M. Hauser","","Fly",""
222,"Hymenoptera","Megachilidae","Osmia","Melanosmia","sp.","Y4","T. Griswold","","Bee","m"
223,"Hymenoptera","Megachilidae","Osmia","Melanosmia","tristella","","T. Griswold","Cockerell","Bee","f"
224,"Hymenoptera","Apidae","Nomada","","sp.","b","R.W. Thorp","","Bee","f"
225,"Hymenoptera","Megachilidae","Osmia","Melanosmia","malina","","T. Griswold","Cockerell","Bee","f"
226,"Hymenoptera","Megachilidae","Osmia","Melanosmia","visenda","","T. Griswold","Sandhouse","Bee","m"
227,"Hymenoptera","Andrenidae","Andrena","Andrena","nigrocaerulea","","R.W. Thorp","Cockerell","Bee","f"
228,"Diptera","Syrphinae","Pseudoscaeva","","diversificata","","M. Hauser","Knab","Fly","f"
229,"Diptera","Syrphinae","Neocnemodom","","sp.","a","M. Hauser","","Fly",""
230,"Hymenoptera","Megachilidae","Osmia","Melanosmia","cara","","T. Griswold","Cockerell","Bee","f"
231,"Hymenoptera","Megachilidae","Dianthidium","Dianthidium","pudicum","","T. Griswold","","Bee","f"
232,"Hymenoptera","Megachilidae","Osmia","Melanosmia","pusilla","","T. Griswold","Cresson","Bee","m"
233,"Hymenoptera","Megachilidae","Osmia","Melanosmia","juxta","","T. Griswold","Cresson","Bee","m"
234,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","subaustralis","","T. Griswold","Cockerell","Bee","m"
235,"Diptera","Acroceridae","Eulonchus","","tristis","","M. Hauser","Loew","Fly","m"
236,"Hymenoptera","Apidae","Bombus","Bombus","bifarius","","R.W. Thorp","Cresson","Bee","queen"
237,"Hymenoptera","Megachilidae","Osmia","Melanosmia","pikei","","T. Griswold","Cockerell","Bee","f"
238,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","californica","","T. Griswold","Ashmead","Bee","m"
239,"Diptera","Conopidae","Dalmannia","","sp","a","M. Hauser","","Fly",""
240,"Hymenoptera","Halictidae","Dufourea","","versatilis","rubriventris","T. Griswold","Michener","Bee","m"
241,"Hymenoptera","Megachilidae","Ashmeadiella","Arogochila","timberlakei","","R.W. Thorp","Michener","Bee","m"
242,"Hymenoptera","Chrysididae","Holopyga","","ventralis","","L. Kimsey","Say","Wasp","f"
243,"Hymenoptera","Megachilidae","Osmia","Melanosmia","laeta","","T. Griswold","Sandhouse","Bee","m"
244,"Hymenoptera","Andrenidae","Andrena","Andrena","cerasifolii","","R.W. Thorp","Cockerell","Bee","f"
245,"Hymenoptera","Megachilidae","Osmia","Melanosmia","sp.","Y4","T. Griswold","","Bee","f"
246,"Hymenoptera","Andrenidae","Andrena","Dactylandrena","porterae","","R.W. Thorp","Cockerell","Bee","f"
247,"Hymenoptera","Andrenidae","Andrena","Thysandrena","medionitens","","R.W. Thorp","Cockerell","Bee","f"
248,"Hymenoptera","Andrenidae","Andrena","Andrena","chapmanae","","R.W. Thorp","Viereck","Bee","f"
249,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","frigida","","T. Griswold","Smith","Bee","f"
250,"Hymenoptera","Andrenidae","Andrena","Euandrena","hamulata","","R.W. Thorp","LaBerge & Ribble","Bee","f"
251,"Diptera","Syrphinae","Sphaerophoria","","sulphuripes","","M. Hauser","Thomson","Fly","m"
252,"Hymenoptera","Megachilidae","Osmia","Melanosmia","cyanella","","T. Griswold","Cockerell","Bee","f"
253,"Hymenoptera","Chrysididae","Holopyga","","horus","","L. Kimsey","Aaron","Wasp","f"
254,"Hymenoptera","Megachilidae","Osmia","Melanosmia","trevoris","","T. Griswold","Cockerell","Bee","f"
255,"Diptera","Syrphinae","Eristalis","","stipator","","M. Hauser","Osten Sacken","Fly","m"
256,"Diptera","Syrphinae","Pipiza","","sp.","a","M. Hauser","","Fly",""
257,"Hymenoptera","Megachilidae","Stelis","Stelis","calliphorina","","T. Griswold","Cockerell","Bee","m"
258,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","diatretum","cf.","Jason Gibbs","","Bee","m"
259,"Diptera","Conopidae","Zodion","","sp","a","M. Hauser","","Fly","m"
260,"Hymenoptera","Megachilidae","Anthidium","Anthidium","placitum","","T. Griswold","Cresson","Bee","m"
261,"Hymenoptera","Megachilidae","Coelioxys","Xerocoelioxys","grindeliae","","T. Griswold","Cockerell","Bee","m"
262,"Hymenoptera","Megachilidae","Megachile","Megachiloides","wheeleri","","T. Griswold","Mitchell","Bee","m"
263,"Hymenoptera","Apidae","Anthophora","Heliophila","exigua","","M.C. Orr","Cresson","Bee","f"
264,"Diptera","Syrphinae","Chalcosyrphu","","sp.","a","M. Hauser","","Fly",""
