Site,Date,Collector,NetPan,SampleRound,NetNumber,PanStartTemp,PanStartWind,PanStartSky,PanStart,PanEnd,PanEndTemp,PanEndWind,PanEndSky
P310,7/16/13,CRP,pan,3,,17.6,1.1,clear,9:00:00,1:30:00,25.5,1,clear
P310,7/31/13,GH,pan,4,,16.2,0.4,clear,8:24:00,12:54:00,32.5,0.7,clear
P33,6/27/13,CRP,pan,1,,21,0.7,clear,9:20:00,,30.5,1.5,clear
P33,7/13/13,RW,pan,2,,18.5,0,clear,9:25:00,1:55:00,27.2,1.3,clear
P33,7/18/13,GH,pan,3,,21.6,0.3,clear,9:05:00,1:35:00,31.4,0.7,clear
P33,7/29/13,CRP,pan,4,,16.7,0,clear,8:45:00,1:15:00,25.2,1.8,partly cloudy
P37,6/28/13,CRP,pan,1,,21.7,0.4,clear,9:00:00,,28.4,0.5,partly cloudy
P37,7/13/13,LCP,pan,2,,19.8,1,clear,9:55:00,3:25:00,25.6,0.7,clear
P37,7/19/13,GH,pan,3,,26.6,0.3,clear,9:20:00,1:50:00,31.3,1,clear
P37,7/30/13,GH,pan,4,,16.5,0.3,clear,8:40:00,1:10:00,27.4,0.5,partly cloudy
P43,6/28/13,LCP,pan,1,,15.9,0,clear,8:45:00,1:15:00,29.6,0.7,clear
P43,7/13/13,SR,pan,2,,16.4,0,clear,9:30:00,2:00:00,26,1,clear
P43,7/17/13,GH,pan,3,,17.4,0,clear,9:05:00,1:35:00,29.6,0.4,clear
P43,7/30/13,CRP,pan,4,,16.4,0,clear,9:15:00,1:45:00,23,1.8,partly cloudy
W04,6/30/13,CRP,pan,1,,27.6,0.6,clear,9:30:00,,28.1,1.5,clear
W04,7/14/13,LCP,pan,2,,19.7,0.6,clear,8:30:00,1:00:00,25.1,2.1,clear
W04,7/20/13,GH,pan,3,,21.4,0,clear,8:23:00,12:53:00,32.4,0.3,partly cloudy
W04,8/1/13,GH,pan,4,,17,0.3,clear,8:31:00,1:01:00,30.7,0.3,clear
