Site,Date,Collector,NetPan,SampleRound,NetNumber,StartTemp,StartWind,StartSky,StartTime,EndTime,EndTemp,EndWind,EndSky,Year
L35,7/18/13,CRP,net,3,1,22.3,0,clear,8:45:00,9:45:00,22.8,0.6,clear,2013
L35,7/18/13,CRP,net,3,2,22.8,0.6,clear,9:45:00,10:30:00,23.3,1.2,clear,2013
L35,7/18/13,CRP,net,3,3,23.5,1.5,clear,10:40:00,11:25:00,24,2,clear,2013
L35,7/18/13,CRP,pan,3,,22.3,0.3,clear,8:30:00,1:00:00,24.5,1.8,clear,2013
L35,7/29/13,LCP,net,4,1,20.1,0.3,clear,8:40:00,10:00:00,23.5,0.6,clear,2013
L35,7/29/13,AJR,net,4,2,20.1,0.3,clear,8:40:00,10:30:00,23.3,0.9,partly cloudy,2013
L35,7/29/13,LCP,net,4,3,23.3,0.9,partly cloudy,10:30:00,11:15:00,22.4,1.1,partly cloudy,2013
L35,7/29/13,LCP,pan,4,,15.8,0.6,clear,8:15:00,12:45:00,25.9,1.2,partly cloudy,2013
N131,6/30/13,CK,net,1,1,26,1.1,clear,10:42:00,12:06:00,27.6,0.5,clear,2013
N131,6/30/13,CK,net,1,2,27.6,1.3,clear,12:36:00,1:24:00,29.8,1.4,clear,2013
N131,6/30/13,CK,net,1,3,30.8,1.1,clear,1:36:00,2:40:00,30.5,0.5,clear,2013
N131,6/30/13,CK,pan,1,,26.6,0.6,clear,10:25:00,3:15:00,31.5,0.6,clear,2013
N131,7/14/13,CRP,net,2,1,20,0.4,clear,8:45:00,1:15:00,27.2,1,clear,2013
N131,7/14/13,CRP,net,2,2,22.8,0.9,clear,9:55:00,10:45:00,23,0.8,clear,2013
N131,7/14/13,CRP,net,2,3,24,0.8,clear,11:10:00,12:10:00,27,2,clear,2013
N131,7/14/13,CRP,pan,2,,20,0.4,clear,8:55:00,9:45:00,22.6,0.8,clear,2013
N131,7/20/13,LCP,net,3,1,22.6,0.5,clear,9:05:00,10:15:00,27.7,0.7,clear,2013
N131,7/20/13,LCP,net,3,2,27.7,0.7,clear,10:15:00,11:30:00,27.2,1.3,clear,2013
N131,7/20/13,LCP,net,3,3,27.2,1.3,clear,11:30:00,12:30:00,27.8,0.6,partly cloudy,2013
N131,7/20/13,LCP,pan,3,,22.6,0.5,clear,8:50:00,1:20:00,29.4,0.7,partly cloudy,2013
N131,8/1/13,CRP,net,4,1,16.5,1.5,clear,9:05:00,9:50:00,20.8,1.6,clear,2013
N131,8/1/13,CRP,net,4,2,21,1.1,clear,10:00:00,10:55:00,24.5,2,clear,2013
N131,8/1/13,CRP,net,4,3,24.5,1.8,clear,11:00:00,11:45:00,24.1,1.5,clear,2013
N131,8/1/13,CRP,pan,4,,16.3,1.5,clear,8:45:00,1:15:00,22.1,1.5,clear,2013
N132,6/30/13,LCP,net,1,1,25.9,0.8,clear,9:30:00,10:30:00,27.7,0.7,clear,2013
N132,6/30/13,LCP,net,1,2,28,0.8,clear,10:30:00,11:15:00,30,1.4,clear,2013
N132,6/30/13,LCP,net,1,3,30.3,1.3,clear,11:30:00,12:15:00,29.4,0.9,clear,2013
N132,6/30/13,LCP,pan,1,,25.9,0.8,clear,9:30:00,2:30:00,31.4,1,clear,2013
N132,7/14/13,GH,net,2,1,24.1,0.4,clear,10:00:00,10:37:00,26.3,0.6,clear,2013
N132,7/14/13,GH,net,2,2,25.8,0.7,clear,10:50:00,11:26:00,27.2,1.4,clear,2013
N132,7/14/13,GH,net,2,3,26.3,1.5,clear,12:45:00,1:28:00,29.2,0.8,clear,2013
N132,7/14/13,GH,pan,2,,23.5,0.4,clear,9:50:00,2:20:00,29.7,0.9,clear,2013
N132,7/20/13,CRP,net,3,1,20.7,0,clear,8:30:00,9:10:00,23.3,0.7,clear,2013
N132,7/20/13,CRP,net,3,2,23.3,0.8,clear,9:15:00,9:55:00,27,1,clear,2013
N132,7/20/13,CRP,net,3,3,27,1,clear,10:00:00,10:35:00,25.7,1.8,clear,2013
N132,7/20/13,CRP,pan,3,,20.7,0,clear,8:15:00,12:45:00,29,0.7,partly cloudy,2013
N132,8/1/13,LCP,net,4,1,15.8,0.9,clear,8:35:00,9:10:00,17.1,2.2,clear,2013
N132,8/1/13,LCP,net,4,2,15.8,0.9,clear,9:10:00,9:50:00,19,2.1,clear,2013
N132,8/1/13,LCP,net,4,3,19,2.1,clear,9:50:00,10:30:00,20,2.2,clear,2013
N132,8/1/13,LCP,pan,4,,15.8,0.9,clear,8:30:00,1:00:00,22.1,1.6,clear,2013
N133,7/8/13,CRP,net,1,1,22.1,0.9,clear,9:00:00,10:00:00,23.8,1.5,clear,2013
N133,7/8/13,CRP,net,1,2,23.9,1.4,clear,10:05:00,10:50:00,24.5,1.1,clear,2013
N133,7/8/13,CRP,net,1,3,24.8,1.5,clear,11:00:00,11:50:00,27,0.7,clear,2013
N133,7/8/13,CRP,pan,1,,22.1,0.8,clear,8:45:00,1:15:00,27.2,1.5,clear,2013
N133,7/11/13,GH,net,2,1,22.7,0.3,partly cloudy,8:35:00,9:15:00,27.4,0.4,partly cloudy,2013
N133,7/11/13,GH,net,2,2,26.5,0.6,partly cloudy,9:32:00,10:15:00,29.2,0.3,partly cloudy,2013
N133,7/11/13,GH,net,2,3,25.4,0.3,partly cloudy,10:35:00,11:20:00,27.8,0.3,partly cloudy,2013
N133,7/11/13,GH,pan,2,,19.1,0.3,partly cloudy,8:21:00,12:51:00,23.5,1.1,partly cloudy,2013
N133,7/23/13,LCP,net,3,1,19.4,0.6,clear,8:35:00,9:25:00,24.5,0.5,bright overcast,2013
N133,7/23/13,LCP,net,3,2,24.5,0.5,bright overcast,9:25:00,10:15:00,24,1.2,bright overcast,2013
N133,7/23/13,LCP,net,3,3,24,1.2,bright overcast,10:15:00,11:05:00,26.9,0.7,bright overcast,2013
N133,7/23/13,LCP,pan,3,,19.4,0.6,clear,8:25:00,12:55:00,28.3,0.5,bright overcast,2013
N133,7/25/13,GH,net,4,1,24.3,0,bright overcast,8:36:00,9:15:00,27.4,0.3,bright overcast,2013
N133,7/25/13,GH,net,4,2,26.5,0.3,bright overcast,9:40:00,10:20:00,30.6,0.3,bright overcast,2013
N133,7/25/13,GH,net,4,3,30.2,0.5,bright overcast,10:45:00,11:21:00,31.7,0.3,bright overcast,2013
N133,7/25/13,GH,pan,4,,20,0,bright overcast,8:22:00,12:52:00,29.4,0.4,bright overcast,2013
N134,7/8/13,LCP,net,1,1,20.3,0.9,clear,8:50:00,10:00:00,25.3,0.8,clear,2013
N134,7/8/13,LCP,net,1,2,24.7,0.7,clear,10:20:00,11:00:00,23.6,1,clear,2013
N134,7/8/13,LCP,net,1,3,24.4,1,clear,11:05:00,12:10:00,25,1.1,clear,2013
N134,7/8/13,LCP,pan,1,,20.5,1.2,clear,8:45:00,1:45:00,24.1,0.8,clear,2013
N134,7/11/13,CRP,net,2,1,15.6,0,partly cloudy,8:15:00,9:05:00,21,0.8,partly cloudy,2013
N134,7/11/13,CRP,net,2,2,21,0.9,partly cloudy,9:15:00,10:05:00,25.3,0.4,partly cloudy,2013
N134,7/11/13,CRP,net,2,3,22.5,0.8,partly cloudy,10:15:00,11:15:00,21.2,0.8,partly cloudy,2013
N134,7/11/13,CRP,pan,2,,15.5,0,partly cloudy,8:00:00,12:30:00,26.3,0.4,partly cloudy,2013
N134,7/22/13,GH,net,3,1,22.9,0,bright overcast,8:43:00,9:46:00,23.4,0.3,bright overcast,2013
N134,7/22/13,GH,net,3,2,26.1,0.4,bright overcast,10:07:00,11:00:00,25.1,0.9,bright overcast,2013
N134,7/22/13,GH,net,3,3,26.1,0,bright overcast,11:20:00,12:07:00,25.2,0,bright overcast,2013
N134,7/22/13,GH,pan,3,,19.8,0,bright overcast,8:30:00,1:00:00,25.8,0.4,bright overcast,2013
N134,7/25/13,CRP,net,4,1,16.3,0,bright overcast,8:30:00,9:35:00,24.6,0.7,bright overcast,2013
N134,7/25/13,CRP,net,4,2,24.6,0.5,bright overcast,9:45:00,10:50:00,26,1,bright overcast,2013
N134,7/25/13,CRP,net,4,3,26.2,1,bright overcast,10:55:00,12:00:00,28.9,0.4,bright overcast,2013
N134,7/25/13,CRP,pan,4,,16,0,bright overcast,8:05:00,12:35:00,26,1.1,bright overcast,2013
N135,7/8/13,GH,net,1,1,24.3,1,clear,9:17:00,9:53:00,26.2,0.6,clear,2013
N135,7/8/13,GH,net,1,2,26.8,0.4,clear,9:57:00,10:40:00,27.2,0.6,clear,2013
N135,7/8/13,GH,net,1,3,27.3,0.5,clear,11:00:00,11:48:00,28.9,0.3,clear,2013
N135,7/8/13,GH,pan,1,,24.3,0.4,clear,9:10:00,1:40:00,24.9,1,clear,2013
N135,7/11/13,LCP,net,2,1,17.5,0.5,clear,8:15:00,9:00:00,25,0.5,partly cloudy,2013
N135,7/11/13,LCP,net,2,2,25,0.5,partly cloudy,9:00:00,9:40:00,26.4,1.1,partly cloudy,2013
N135,7/11/13,LCP,net,2,3,26.4,1.1,partly cloudy,9:40:00,10:30:00,22.1,1.1,partly cloudy,2013
N135,7/11/13,LCP,pan,2,,17.5,0.5,partly cloudy,8:05:00,12:35:00,23.5,1.2,partly cloudy,2013
N135,7/22/13,CRP,net,3,1,20.5,1,partly cloudy,8:45:00,9:20:00,22.2,0.9,partly cloudy,2013
N135,7/22/13,CRP,net,3,2,22.2,0.8,partly cloudy,9:25:00,10:00:00,25.2,0.4,bright overcast,2013
N135,7/22/13,CRP,net,3,3,25.2,1.2,bright overcast,10:10:00,10:45:00,30.2,0.6,bright overcast,2013
N135,7/22/13,CRP,pan,3,,20.5,0.9,partly cloudy,8:30:00,1:00:00,24.2,1.2,bright overcast,2013
N135,7/25/13,LCP,net,4,1,18.1,0.5,bright overcast,8:20:00,9:00:00,21.7,0.6,bright overcast,2013
N135,7/25/13,LCP,net,4,2,21.5,0.6,bright overcast,9:00:00,9:30:00,26.6,0.7,bright overcast,2013
N135,7/25/13,LCP,net,4,3,21.5,0.6,bright overcast,9:30:00,10:10:00,24,1.2,bright overcast,2013
N135,7/25/13,LCP,pan,4,,15.8,0.3,bright overcast,8:05:00,12:35:00,25,0.8,bright overcast,2013
N136,7/9/13,GH,net,1,1,18.4,0,clear,9:08:00,10:05:00,25.9,0.3,clear,2013
N136,7/9/13,GH,net,1,2,28.7,0.5,clear,10:39:00,11:30:00,32.1,0,clear,2013
N136,7/9/13,GH,net,1,3,33.1,0.3,clear,12:15:00,1:02:00,31.6,0.6,clear,2013
N136,7/9/13,GH,pan,1,,18.4,0,clear,9:03:00,1:33:00,29.3,0.4,clear,2013
N136,7/12/13,LCP,net,2,1,15.2,0.4,clear,8:15:00,9:15:00,21.4,0.5,clear,2013
N136,7/12/13,LCP,net,2,2,21.4,0.5,clear,9:15:00,10:05:00,24.4,0.4,clear,2013
N136,7/12/13,LCP,net,2,3,21,0.4,clear,10:05:00,11:00:00,24,0.4,clear,2013
N136,7/12/13,LCP,pan,2,,15.2,0.4,clear,8:00:00,12:30:00,25,0.4,clear,2013
N136,7/24/13,CRP,net,3,1,16.4,0,clear,8:35:00,9:40:00,24.5,0,clear,2013
N136,7/24/13,CRP,net,3,2,24.6,0,clear,9:55:00,10:55:00,26.9,0.5,clear,2013
N136,7/24/13,CRP,net,3,3,27.1,0.6,clear,11:20:00,12:20:00,28.6,0.6,partly cloudy,2013
N136,7/24/13,CRP,pan,3,,16.3,0,clear,8:15:00,12:45:00,27.5,0.8,partly cloudy,2013
N136,7/26/13,LCP,net,4,1,19.2,0,clear,8:45:00,9:25:00,21.6,0.6,clear,2013
N136,7/26/13,LCP,net,4,2,21.6,0.6,clear,9:25:00,10:15:00,27.1,0.5,clear,2013
N136,7/26/13,LCP,net,4,3,27.6,0,clear,10:20:00,11:10:00,28.5,0.5,clear,2013
N136,7/26/13,LCP,pan,4,,16.8,0,clear,8:15:00,12:45:00,28.5,0.6,partly cloudy,2013
N137,7/9/13,CRP,net,1,1,18.4,1.6,clear,9:10:00,10:00:00,22.9,1,clear,2013
N137,7/9/13,CRP,net,1,2,23.2,1.1,clear,10:10:00,11:05:00,26.8,2.4,clear,2013
N137,7/9/13,CRP,net,1,3,26.9,2.5,clear,11:10:00,12:00:00,28.2,0.8,clear,2013
N137,7/9/13,CRP,pan,1,,18.4,1.6,clear,9:00:00,1:30:00,28,1.5,clear,2013
N137,7/12/13,GH,net,2,1,16.1,0.3,clear,8:35:00,9:17:00,18.7,0.3,clear,2013
N137,7/12/13,GH,net,2,2,22.6,0.3,clear,9:35:00,10:18:00,23.6,0.4,clear,2013
N137,7/12/13,GH,net,2,3,26.9,0.6,clear,10:46:00,11:25:00,26.5,1,clear,2013
N137,7/12/13,GH,pan,2,,15.6,0.3,clear,8:30:00,1:00:00,31.9,0.7,clear,2013
N137,7/24/13,LCP,net,3,1,17.2,0,clear,8:45:00,9:30:00,22.6,0.5,clear,2013
N137,7/24/13,LCP,net,3,2,22.6,0.5,clear,9:30:00,10:30:00,27.8,0.6,clear,2013
N137,7/24/13,LCP,net,3,3,27.8,0.6,clear,10:35:00,11:30:00,33.3,1.9,partly cloudy,2013
N137,7/24/13,LCP,pan,3,,17.2,0,clear,8:30:00,1:00:00,27.2,1,partly cloudy,2013
N137,7/26/13,CRP,net,4,1,16.5,0,clear,8:45:00,9:20:00,20.6,0.4,partly cloudy,2013
N137,7/26/13,CRP,net,4,2,20.6,0.7,partly cloudy,9:35:00,10:30:00,26,0.7,partly cloudy,2013
N137,7/26/13,CRP,net,4,3,28,1.2,partly cloudy,10:45:00,11:40:00,24.3,1.5,partly cloudy,2013
N137,7/26/13,CRP,pan,4,,16.4,0,clear,8:30:00,1:00:00,23.2,1.3,partly cloudy,2013
N139,7/9/13,LCP,net,1,1,18.5,1.1,clear,9:15:00,10:00:00,24.7,1.3,clear,2013
N139,7/9/13,LCP,net,1,2,23,1.3,clear,10:05:00,10:45:00,24.3,1.3,clear,2013
N139,7/9/13,LCP,net,1,3,23,1.3,clear,10:45:00,11:35:00,24.2,2.3,clear,2013
N139,7/9/13,LCP,pan,1,,18.5,1.1,clear,9:00:00,1:30:00,25.6,2.8,clear,2013
N139,7/12/13,CRP,net,2,1,15.7,0.8,clear,8:30:00,9:15:00,18.3,0.8,clear,2013
N139,7/12/13,CRP,net,2,2,19.5,0.6,clear,9:25:00,10:00:00,21.6,0.6,clear,2013
N139,7/12/13,CRP,net,2,3,21.6,0.6,clear,10:00:00,10:35:00,25.8,0.8,clear,2013
N139,7/12/13,CRP,pan,2,,15.7,0.8,clear,8:15:00,12:45:00,22.5,2.1,clear,2013
N139,7/24/13,GH,net,3,1,21.2,0.3,clear,8:50:00,9:25:00,21.8,0.3,clear,2013
N139,7/24/13,GH,net,3,2,22.3,0.4,clear,9:38:00,10:14:00,26.3,0.3,clear,2013
N139,7/24/13,GH,net,3,3,28.2,0.6,clear,10:43:00,11:18:00,28.7,0.5,clear,2013
N139,7/24/13,GH,pan,3,,18.9,0.5,clear,8:35:00,1:05:00,30.7,0.3,partly cloudy,2013
N139,7/26/13,GH,net,4,1,23.2,0,clear,8:52:00,9:24:00,23.4,0.3,clear,2013
N139,7/26/13,GH,net,4,2,24.1,0.5,clear,9:55:00,10:32:00,29.7,0.7,clear,2013
N139,7/26/13,GH,net,4,3,29.7,0.5,partly cloudy,10:53:00,11:28:00,29.8,0.7,partly cloudy,2013
N139,7/26/13,GH,pan,4,,20.7,0.4,clear,8:39:00,1:09:00,29.2,0.7,bright overcast,2013
P24,6/27/13,CC,net,1,1,19.4,0,clear,8:20:00,8:50:00,24.6,0,clear,2013
P24,6/27/13,CC,net,1,2,24.6,0,clear,8:50:00,9:20:00,24.2,0,clear,2013
P24,6/27/13,CC,net,1,3,24.2,0,clear,9:25:00,9:55:00,25.5,0.3,clear,2013
P24,6/27/13,CC,pan,1,,19.4,0,clear,8:20:00,12:50:00,25.5,0.3,clear,2013
P24,7/13/13,CRP,net,2,1,20.1,0.4,clear,10:00:00,10:35:00,20,0.7,clear,2013
P24,7/13/13,CRP,net,2,2,20,0.7,clear,10:35:00,11:10:00,21.8,1.1,clear,2013
P24,7/13/13,CRP,net,2,3,22,1,clear,11:20:00,11:55:00,23.2,0.8,clear,2013
P24,7/13/13,CRP,pan,2,,20.2,0.3,clear,9:45:00,2:15:00,24.1,0.6,clear,2013
P24,7/19/13,CRP,net,3,1,20.8,0,clear,9:00:00,9:40:00,21.8,0,clear,2013
P24,7/19/13,CRP,net,3,2,21.8,0,clear,9:45:00,10:25:00,24.8,1,clear,2013
P24,7/19/13,CRP,net,3,3,24.9,0.8,clear,10:30:00,11:05:00,27,1.5,clear,2013
P24,7/19/13,CRP,pan,3,,20.8,0,clear,8:45:00,1:15:00,28.7,0.4,clear,2013
P24,7/29/13,GH,net,4,1,19,0.3,clear,9:21:00,9:54:00,21.4,0.6,clear,2013
P24,7/29/13,GH,net,4,2,20.7,0.5,clear,10:00:00,10:36:00,22.9,0.3,partly cloudy,2013
P24,7/29/13,GH,net,4,3,28.4,0.3,partly cloudy,10:56:00,11:29:00,26.6,0.3,partly cloudy,2013
P24,7/29/13,GH,pan,4,,17.9,0.6,clear,9:06:00,1:36:00,27.3,0.5,partly cloudy,2013
P310,6/29/13,LCP,net,1,1,18.2,0,clear,8:05:00,9:05:00,24,0.6,clear,2013
P310,6/29/13,LCP,net,1,2,24,0.3,clear,9:05:00,9:45:00,28.5,0,clear,2013
P310,6/29/13,LCP,net,1,3,28.5,0,clear,9:45:00,10:30:00,27.2,0.7,clear,2013
P310,6/29/13,LCP,pan,1,,18.2,0,clear,8:05:00,1:05:00,29.5,2.4,clear,2013
P310,7/13/13,BES,net,2,1,17.6,1.7,clear,9:00:00,10:34:00,22.6,0.5,clear,2013
P310,7/13/13,BES,net,2,2,21.7,1.3,clear,10:34:00,11:50:00,23.8,1,clear,2013
P310,7/13/13,BES,net,2,3,24.3,1.2,clear,11:50:00,1:23:00,24.8,0.7,clear,2013
P310,7/13/13,BES,pan,2,,17.7,0.8,clear,8:56:00,1:37:00,24.9,0.8,clear,2013
P310,7/17/13,CRP,pan,3,,17.6,1.1,clear,9:00:00,1:30:00,25.5,1,clear,2013
P310,7/17/13,CRP,net,3,1,17.6,1,clear,9:10:00,10:00:00,20.5,2,clear,2013
P310,7/17/13,CRP,net,3,2,20,1.5,clear,10:15:00,11:05:00,21,2,clear,2013
P310,7/17/13,CRP,net,3,3,21.9,2,clear,11:15:00,12:20:00,22.2,1.5,clear,2013
P310,7/31/13,GH,net,4,1,18.3,0.3,clear,8:37:00,9:16:00,21.3,0.3,clear,2013
P310,7/31/13,GH,net,4,2,24.2,0.3,clear,9:35:00,10:15:00,25.3,0.4,clear,2013
P310,7/31/13,GH,net,4,3,26.3,0.3,clear,10:30:00,11:11:00,28.4,0.5,clear,2013
P310,7/31/13,GH,pan,4,,16.2,0.4,clear,8:24:00,12:54:00,32.5,0.7,clear,2013
P33,6/27/13,CRP,net,1,1,21,0.7,clear,9:20:00,10:30:00,24.9,0.9,clear,2013
P33,6/27/13,CRP,net,1,2,24.8,0.5,clear,10:55:00,12:00:00,26.5,0.7,clear,2013
P33,6/27/13,CRP,net,1,3,27,1.1,clear,12:20:00,1:35:00,30.5,1.5,clear,2013
P33,6/27/13,CRP,pan,1,,21,0.7,clear,9:20:00,1:50:00,30.5,1.5,clear,2013
P33,7/13/13,RW,net,2,1,18.1,0,clear,9:50:00,10:45:00,24.6,0.4,clear,2013
P33,7/13/13,RW,net,2,2,24,2.4,clear,10:55:00,11:40:00,24.7,0.6,clear,2013
P33,7/13/13,RW,net,2,3,24.3,2.1,clear,11:45:00,12:35:00,26.6,0.9,clear,2013
P33,7/13/13,RW,pan,2,,18.5,0,clear,9:25:00,1:55:00,27.2,1.3,clear,2013
P33,7/18/13,GH,net,3,1,21.4,0.3,clear,9:15:00,9:50:00,22.2,0.6,clear,2013
P33,7/18/13,GH,net,3,2,22.1,0.5,clear,10:00:00,10:40:00,26.4,0.3,clear,2013
P33,7/18/13,GH,net,3,3,27.2,0.3,clear,10:50:00,11:30:00,30.4,0.6,clear,2013
P33,7/18/13,GH,pan,3,,21.6,0.3,clear,9:05:00,1:35:00,31.4,0.7,clear,2013
P33,7/29/13,CRP,net,4,1,18.7,0.3,clear,9:00:00,10:00:00,22.2,1.5,clear,2013
P33,7/29/13,CRP,net,4,2,19.8,1.5,partly cloudy,10:30:00,11:25:00,21,2,partly cloudy,2013
P33,7/29/13,CRP,net,4,3,22.5,2,partly cloudy,12:00:00,1:00:00,25,1.5,partly cloudy,2013
P33,7/29/13,CRP,pan,4,,16.7,0,clear,8:45:00,1:15:00,25.2,1.8,partly cloudy,2013
P37,6/28/13,CRP,net,1,1,21.7,0.4,clear,9:00:00,10:05:00,24.6,0.9,partly cloudy,2013
P37,6/28/13,CRP,net,1,2,25.2,1.1,partly cloudy,10:20:00,11:25:00,27.2,0.9,partly cloudy,2013
P37,6/28/13,CRP,net,1,3,27.1,0.3,partly cloudy,11:40:00,12:50:00,28.4,0.5,partly cloudy,2013
P37,6/28/13,CRP,pan,1,,21.7,0.4,clear,9:00:00,1:30:00,28.4,0.5,partly cloudy,2013
P37,7/13/13,LCP,net,2,1,19.8,1,clear,10:15:00,10:55:00,25.7,0.7,clear,2013
P37,7/13/13,LCP,net,2,2,25.7,0.7,clear,10:55:00,11:50:00,25,1.2,clear,2013
P37,7/13/13,LCP,net,2,3,25,1.2,clear,11:50:00,12:30:00,26.8,0.6,clear,2013
P37,7/13/13,LCP,pan,2,,19.8,1,clear,9:55:00,3:25:00,25.6,0.7,clear,2013
